model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
hist_gradient_boosting_full,0.009195364711420925,0.0010800677630255912,0.5681723175597937,-3.166972479997348,-0.6832702041397702,1.363421474358974
ridge_wind_weather_only,0.008667891452014099,0.009087521556007977,0.4820977294008579,-2.257254400544365,-0.5437920226260515,1.222943376068376
ridge_price_only,0.008291044808913949,0.0034304201408220745,0.4126974731009305,-2.495921888803787,-0.5668534545774361,1.0123297275641026
rolling_mean_5d,0.006718992612097452,0.020484439030285573,0.5504277198237945,-1.6089093504400893,-0.35531076671258544,0.7154947916666666
rolling_momentum_21d,0.000202971555791168,0.0015723223316488246,0.13967899002546721,-0.36568550388719107,-0.062358936512501295,0.3431557158119658
lagged_return_reversal,-0.0011031080477322697,-0.00825075974448266,-0.1968373019530931,-3.368168968805012,-0.8210841606475386,1.5172876602564103
ridge_finance_only,-0.004240943743943623,-0.012451347182306427,-0.2932986126660813,-3.686550082242178,-0.7711115121324633,1.168092280982906
elasticnet_full,-0.007110047184887559,-0.00889131022831531,-0.45319520897454624,-5.517047942724309,-0.6877890559908783,1.055261752136752
ridge_full,-0.007634095014374391,-0.015089088922843013,-0.4573115133355823,-2.7256420163784925,-0.5097529124685187,1.0137686965811967
country_sector_dummy,-0.021635688942175223,-0.02597318373556345,-1.1569783462211276,0.6273890050252744,0.1398655350034773,0.07917000534188035
ridge_country_features_only,-0.021635688942175223,-0.02597318373556345,-1.1569783462211276,0.6273890050252744,0.1398655350034773,0.07917000534188035
zero_score,,,,,0.0,0.0
