regime,model,n_days,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,directional_accuracy,gross_pnl,net_pnl,annualized_return,annualized_volatility,sharpe,max_drawdown,mean_turnover,max_abs_net_exposure,max_group_net_exposure
all_oos,lagged_return_reversal,386,0.01799310683951577,0.018549405187826412,1.6657036218828218,1.9337327799273498,0.5090303478904515,0.18841893630336445,-0.013009635125206906,-0.0028311123070398447,0.08802894143068632,-0.03216115360502264,-0.38537160157838357,0.5218356772760917,0.0,
all_oos,ridge_wind_weather_only,386,0.015538217068699078,0.013069642233815274,2.162768963329064,1.6662404116524998,0.5066247224278313,0.2146810947738194,0.09703823763096228,0.02111712943264464,0.06524927964268584,0.3236377404974428,-0.25527784374229495,0.3047742413027387,0.0,
all_oos,ridge_finance_only,386,0.011676473547157779,0.011562495419057425,1.0859431676353815,1.2678321026812458,0.5049222797927461,0.06408360389773005,-0.05948782467369845,-0.012945536975623497,0.08715308306107089,-0.1485379119239207,-0.38202475096190647,0.3201332346410066,0.0,
2023_h1,lagged_return_reversal,128,0.0450534164345999,0.047113141118920676,2.670965627334257,2.9309153575384688,0.5102678571428572,0.21757117899800954,0.14792832185515237,0.09707796121744375,0.08179816258371175,1.1867988002553815,-0.07418524784346178,0.5440848214285714,0.0,
2023_h1,ridge_wind_weather_only,128,0.024664205638429526,0.025734222535448742,2.380586808703379,2.179171036384356,0.5065848214285714,0.11098300128185692,0.0740544298532855,0.048598219591218614,0.05266606188381617,0.9227616011698119,-0.06165459619335381,0.2885044642857143,0.0,
2023_h1,ridge_finance_only,128,0.03258114506537432,0.012828247732844387,1.6399624585696615,0.7260879545679761,0.49988839285714287,0.11175755350648167,0.07847183922076739,0.051497144488628604,0.09576852012497201,0.5377251775575941,-0.22377569922578017,0.2600446428571428,0.0,
2023_h2,ridge_finance_only,128,-0.024902094187654256,0.010383908937959539,-1.2828745357721085,0.7127161804020399,0.5066964285714286,-0.06572015998341744,-0.115791588554846,-0.0759882299891177,0.0858753089625173,-0.8848670346244099,-0.20106668792198837,0.3911830357142857,0.0,
2023_h2,ridge_wind_weather_only,128,0.003358662608927563,-0.003310834421553832,0.24192994101358511,-0.23467944251293496,0.5025669642857143,-0.11311832787387302,-0.1472611850167302,-0.09664015266722918,0.06788265975529836,-1.4236353291929793,-0.23650247019169035,0.2667410714285714,0.0,
2023_h2,lagged_return_reversal,128,-0.040112032831758536,-0.042840254896571214,-2.0880309720568855,-2.7417656363139824,0.49944196428571425,-0.3007970767234394,-0.3634399338662965,-0.23850745659975708,0.09244812108070215,-2.579905938721601,-0.37276040077696543,0.4893973214285714,0.0,
2024_h2,lagged_return_reversal,130,0.04856032414530303,0.050870315123386654,2.5526573018055303,3.012242422307271,0.5172527472527472,0.27164483402879436,0.20250197688593724,0.1308474312186056,0.0838145685561801,1.5611537883285749,-0.10508733926718501,0.5318681318681319,0.0,
2024_h2,ridge_wind_weather_only,130,0.01854480502197027,0.016728370951339597,1.445081531951346,1.1442682792835686,0.5106593406593406,0.21681642136583548,0.1702449927944069,0.11000445688253986,0.07146852658098587,1.5392014099785067,-0.09245332674047599,0.35824175824175825,0.0,
2024_h2,ridge_finance_only,130,0.02710923289888259,0.01147667059917895,1.67709012885571,0.7589274417277336,0.5081318681318681,0.018046210374665854,-0.022168075339619835,-0.014323987142523587,0.07852616457900735,-0.18241037518280706,-0.14780757149670654,0.30934065934065935,0.0,
