model,metric,observed,ci_low,ci_high,bootstrap_mean,p_le_zero,n_boot,block_size
lagged_return_reversal,mean_rankic,0.018549405187826412,-0.011374547845182834,0.044948664000001644,0.016622146121116378,0.117,1000,20
lagged_return_reversal,mean_ic,0.01799310683951577,-0.013526695376499169,0.04353278774738925,0.015842763937150388,0.132,1000,20
lagged_return_reversal,net_pnl,-0.013009635125206906,-0.5846876310101501,0.4863450782040869,-0.04484083908715867,0.567,1000,20
lagged_return_reversal,sharpe,-0.03216115360502264,-1.4036635770654646,1.2816855475201157,-0.09769264546351747,0.567,1000,20
lagged_return_reversal,mean_turnover,0.5218356772760917,0.5048066247224278,0.5383142116950407,0.5211467431532198,0.0,1000,20
ridge_finance_only,mean_rankic,0.011562495419057425,-0.017704299597708535,0.029736537236728998,0.007866244311385917,0.245,1000,20
ridge_finance_only,mean_ic,0.011676473547157779,-0.020241313269060368,0.030988810206208955,0.006233394436450156,0.305,1000,20
ridge_finance_only,net_pnl,-0.05948782467369845,-0.661173107454215,0.364693288923257,-0.1450307227610672,0.706,1000,20
ridge_finance_only,sharpe,-0.1485379119239207,-1.6532044527239016,0.9007768364714712,-0.3662530222895975,0.706,1000,20
ridge_finance_only,mean_turnover,0.3201332346410066,0.29070595854922276,0.3480801258327164,0.3183652849740932,0.0,1000,20
ridge_wind_weather_only,mean_rankic,0.013069642233815274,-0.006251297400522824,0.02745957143701476,0.01106595739794043,0.117,1000,20
ridge_wind_weather_only,mean_ic,0.015538217068699078,-0.0034466825998093966,0.031192419654873037,0.014422024165241026,0.048,1000,20
ridge_wind_weather_only,net_pnl,0.09703823763096228,-0.35647312947450566,0.4546249042131686,0.05445685879893697,0.402,1000,20
ridge_wind_weather_only,sharpe,0.3236377404974428,-1.1727345836642742,1.5184733472081542,0.18245222520630613,0.402,1000,20
ridge_wind_weather_only,mean_turnover,0.3047742413027387,0.26238897113249443,0.35678663952627676,0.3073815692079941,0.0,1000,20
