model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,fold
lagged_return_reversal,9100,130,0.0012239163354357018,0.02335219092063475,0.5172527472527473,0.048560312805254885,0.05086708504054849,2.5526570428959316,3.0119265704407128,2.421097875441965,0.07059579800447022,0.053225063471668194,1.3263638105767313,-0.06108777019581771,0.23165965699273378,0.10925540167358486,0.9415711947626841,0.0,10.0,84.0,fold_2019_2023_to_2024h2
elasticnet_full,9100,130,0.001104865971506408,0.022473809359550526,0.49934065934065935,0.029485937169043342,0.022840449440054783,1.8389300614758726,1.562773121846818,1.2562147836650306,0.03736116303634238,0.05825594467595231,0.6413279064336389,-0.09257213571245085,0.13276410996759166,0.05782084755624417,0.5764866339334425,0.0,10.0,84.0,fold_2019_2023_to_2024h2
ridge_wind_weather_only,9100,130,0.0011045201321475751,0.022473945621846948,0.5106593406593407,0.018544805278055455,0.016728370951339597,1.4450818939521661,1.1442682792835686,0.9198051264256786,0.012370190899209587,0.0588630887222095,0.2101519163832498,-0.08059333359796603,0.13167625795191756,0.01914434305830055,0.8656301145662848,0.0,10.0,84.0,fold_2019_2023_to_2024h2
ridge_finance_only,9100,130,0.0011043903237667075,0.022460884925590265,0.5081318681318682,0.02713111889938746,0.01135931096748642,1.678754922138367,0.7510495877933527,0.6037214118045321,0.021433232897273537,0.05644737427329404,0.3797029210517922,-0.09417461511263255,0.11073076317181897,0.03317047948387571,0.5966175668303328,0.0,10.0,84.0,fold_2019_2023_to_2024h2
ridge_price_only,9100,130,0.0011067000791372455,0.02248534161404349,0.5084615384615384,-0.02056214339289475,-0.008129818793067567,-1.6301769186540214,-0.6148273438411482,-0.49422093836757147,-0.06412968021705878,0.054543558294365226,-1.1757516785200988,-0.11167575989853465,0.007106295307439434,-0.09924831462163858,0.8181123840698309,0.0,10.0,84.0,fold_2019_2023_to_2024h2
ridge_full,9100,130,0.0011089772088768606,0.02252374115197357,0.49153846153846154,-0.019090634436796806,-0.02012042608474686,-1.259137832833875,-1.6371883123764113,-1.3160324636377019,0.05611128741467129,0.04886614452725985,1.1482650812234585,-0.07570271493220215,0.1465268404517836,0.08683889718937224,0.4591380250954719,0.0,10.0,84.0,fold_2019_2023_to_2024h2
rolling_mean_5d,9100,130,0.0011778839492469363,0.023303720695446093,0.48516483516483516,-0.020827283648429187,-0.020412595663183892,-1.1180220314248794,-1.1888653194616379,-0.9556538752915332,-0.10304045325338296,0.05538427725997506,-1.8604639863712353,-0.16971963241254936,-0.10323332557704402,-0.15946736813023554,0.43256955810147296,0.0,10.0,84.0,fold_2019_2023_to_2024h2
rolling_momentum_21d,9100,130,0.010460812438724855,0.06866666805491811,0.4869230769230769,-0.004315830938992077,-0.030820485399330827,-0.22642332933879084,-1.663572002902231,-1.3372406490248485,-0.006766270013116191,0.06075166996462519,-0.11137586863136585,-0.10339637817960244,0.014677327816580536,-0.0104716083536322,0.19345335515548284,0.0,10.0,84.0,fold_2019_2023_to_2024h2
country_sector_dummy,9100,130,0.0011095464337433913,0.022531650291969938,0.47637362637362635,-0.04514579280054972,-0.053612294523701885,-3.118006861084238,-4.207761162354687,-3.3823539094625064,-0.0423038235175584,0.0624534471999015,-0.6773657086077567,-0.10186644851177856,-0.03737800448132772,-0.065470203062888,0.2160938352427714,0.0,10.0,84.0,fold_2019_2023_to_2024h2
ridge_country_features_only,9100,130,0.0011095464337433913,0.022531650291969938,0.47637362637362635,-0.04514579280054972,-0.053612294523701885,-3.118006861084238,-4.207761162354687,-3.3823539094625064,-0.0423038235175584,0.0624534471999015,-0.6773657086077567,-0.10186644851177856,-0.03737800448132772,-0.065470203062888,0.2160938352427714,0.0,10.0,84.0,fold_2019_2023_to_2024h2
zero_score,9100,130,0.001105503980812325,0.02248292204011367,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,84.0,fold_2019_2023_to_2024h2
