model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
rolling_momentum_21d,7680,256,0.009886360969317488,0.07159267991485617,0.47747395833333334,0.021300293881287083,0.039648208614853214,1.0943405082462099,2.2409833830594206,0.9943377365085015,0.07881251965085485,0.12620095870701087,0.6245001659125793,-0.5396585544977437,0.4436508934646596,0.40031756013132624,0.16927083333333331,10.0,50.4,fold_2019_2021_to_2023
rolling_mean_5d,7680,256,0.0017644679280566864,0.028222414279615214,0.5049479166666667,0.023550101013398148,0.03412621437321482,1.2996214139628182,2.0977237577477723,0.9307725835304514,0.13603410316561598,0.1243146186285434,1.0942727787476936,-0.23005137435270254,0.7924668732221763,0.6909668732221764,0.396484375,10.0,50.4,fold_2019_2021_to_2023
ridge_price_only,7680,256,0.0017150323353984241,0.02770112157210247,0.5149739583333334,0.028611320365683146,0.019170677060541888,1.9631760309784358,1.4246998627217826,0.6321478541124853,0.01733023010461272,0.09077671920709826,0.1909105137967752,-0.37838627192194974,0.2951932322773979,0.08802656561073127,0.8092447916666665,10.0,50.4,fold_2019_2021_to_2023
hist_gradient_boosting_full,7680,256,0.0017234911892425144,0.02781897654785711,0.4811197916666667,0.014923465283032825,-0.0060568268260788065,0.8134608766861027,-0.3998605907857649,-0.17742053679044495,0.10149516498967584,0.108050854043705,0.9393277442177601,-0.3808429338052819,0.6131976634396232,0.5155309967729567,0.38151041666666663,10.0,50.4,fold_2019_2021_to_2023
ridge_wind_weather_only,7680,256,0.0017162847065074508,0.027717896773875206,0.4934895833333333,0.008740678758264306,-0.015247733018065812,0.6234640227018002,-1.118733716441706,-0.49638884418845064,-0.0014834686210462751,0.10083597103183475,-0.014711700654699223,-0.39169973388793006,0.17813158795659034,-0.007535078710076318,0.7252604166666666,10.0,50.4,fold_2019_2021_to_2023
lagged_return_reversal,7680,256,0.0018060679069509123,0.0284501856687857,0.49453125,-0.010925828541227875,-0.01699117859076405,-0.601176337934922,-1.075669257198736,-0.47728088593614176,-0.17563051016591583,0.12468167816114059,-1.4086312660864908,-0.9561379541380387,-0.6719248135411597,-0.8920914802078265,0.8600260416666666,10.0,50.4,fold_2019_2021_to_2023
ridge_finance_only,7680,256,0.0017278188398208401,0.02780273100635314,0.4747395833333333,-0.039628887784797936,-0.04954117609475135,-1.874581342883809,-2.5614241122719275,-1.1365192054916873,-0.1703907497762304,0.13740505932912603,-1.2400616877439268,-1.5465406498047924,-0.7868101575935511,-0.8654768242602179,0.30729166666666663,10.0,50.4,fold_2019_2021_to_2023
elasticnet_full,7680,256,0.0017442991795332922,0.028036928797929114,0.46015625,-0.075548206471028,-0.06543090526862458,-3.7132532793912363,-3.6598706692817204,-1.6239065156472636,-0.17661001034112492,0.12079979218054263,-1.462005912039737,-1.5128550137030141,-0.8544000525263489,-0.8970667191930155,0.16666666666666666,10.0,50.4,fold_2019_2021_to_2023
ridge_full,7680,256,0.0017682564783847714,0.028323978896803916,0.47734375,-0.0666347049196209,-0.07435918337707578,-3.747129670698037,-5.013559555929948,-2.224546374765229,-0.19681616164429344,0.12189688456857854,-1.6146119102294672,-1.3874899614882399,-0.9475344718440303,-0.9997011385106969,0.20377604166666666,10.0,50.4,fold_2019_2021_to_2023
country_sector_dummy,7680,256,0.00174661206399888,0.02809053082596339,0.45729166666666665,-0.0799989179688409,-0.08772930903260598,-3.899255394083291,-4.777763472314084,-2.119922241524188,-0.13497266121017384,0.12356812245647854,-1.0922935343434719,-1.442486773217659,-0.6845754220199306,-0.6855754220199307,0.00390625,10.0,50.4,fold_2019_2021_to_2023
ridge_country_features_only,7680,256,0.00174661206399888,0.02809053082596339,0.45729166666666665,-0.0799989179688409,-0.08772930903260598,-3.899255394083291,-4.777763472314084,-2.119922241524188,-0.13497266121017384,0.12356812245647854,-1.0922935343434719,-1.442486773217659,-0.6845754220199306,-0.6855754220199307,0.00390625,10.0,50.4,fold_2019_2021_to_2023
zero_score,7680,256,0.0017163906369219296,0.027685496473128453,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,50.4,fold_2019_2021_to_2023
rolling_mean_5d,3840,128,0.0019305582039463596,0.029314420871501223,0.5203125,0.06779144041193695,0.07715295113481951,2.470615478837932,3.2000262042127177,2.008000506694762,0.2545632050950267,0.14097883734310104,1.8056838167525437,-0.1989150858194526,0.6970097272254647,0.6465097272254647,0.39453125,10.0,50.4,fold_2019_2022_to_2023h2
rolling_momentum_21d,3840,128,0.01329622633351274,0.08205758345689863,0.4739583333333333,0.06354748987482339,0.0736480946496191,2.173693982273166,2.9150747465229627,1.8291948860810365,0.2042156249319228,0.13348203688444943,1.5299109130969055,-0.2865141119250376,0.5398095236366295,0.5186428569699627,0.16536458333333331,10.0,50.4,fold_2019_2022_to_2023h2
