model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year
lagged_return_reversal,11580,386,0.0011434987865915796,0.02221041651500794,0.49844559585492226,0.019114331483837996,0.014534010061433037,1.1973135940025896,1.112868460908129,0.5191463742491187,-0.07681020951270537,0.12534563649058147,-0.6127872629892219,-0.5776114420856392,-0.01596120085600329,-0.35296120085600324,0.8730569948186528,10.0,84.0
rolling_mean_5d,11580,386,0.0010862644073647365,0.021967410134748615,0.4985319516407599,0.005201398066803851,0.013420769364057353,0.3294860385313724,1.0087527626401052,0.47057703370535614,0.058025429800496964,0.12414782590785099,0.46738981835708077,-0.33135966905819114,0.42164066551180746,0.2666406655118075,0.4015544041450777,10.0,84.0
rolling_momentum_21d,11580,386,0.009862136763408047,0.06892165703936837,0.48894645941278064,0.01573356875799632,0.011189777584703985,0.9801996516559339,0.7810425518092038,0.3643516041196364,0.01721644120017566,0.12769336828315797,0.13482643172195505,-0.4430543639108241,0.14794697980080723,0.07911364646747386,0.17832469775474954,10.0,84.0
hist_gradient_boosting_full,11580,386,0.0010227837921679016,0.021240245602929128,0.4900690846286701,0.024383367616362686,-0.0033111845390460565,1.7019707231767476,-0.26055215214598204,-0.12154599563277398,-0.014569707206575059,0.11389208768351981,-0.12792554340614914,-0.5293078593785513,0.12971539307454782,-0.06695127359211872,0.5094991364421416,10.0,84.0
ridge_wind_weather_only,11580,386,0.0010212035068436658,0.021200362946469233,0.5065630397236615,0.007637043503253559,-0.003873460224395235,0.6701595033111744,-0.35750249830089503,-0.16677274295873226,-0.006903968474096611,0.09581919591922164,-0.07205203934206311,-0.3645903114304656,0.17710795439284177,-0.03172537894049157,0.5410189982728842,10.0,84.0
ridge_price_only,11580,386,0.0010232324850153929,0.02119543859415664,0.49058721934369603,-0.015891972951578126,-0.007528448972928831,-1.3460254793707347,-0.7554399516629576,-0.3524081467352592,-0.054096338140475736,0.09837472929456607,-0.5499007573224789,-0.47429471935826273,-0.08025222050266236,-0.24858555383599568,0.43609671848013815,10.0,84.0
ridge_finance_only,11580,386,0.001022774808546428,0.021191692015668888,0.5012089810017271,-0.002454726949820051,-0.008983048362686388,-0.15431625044878167,-0.6690846301791579,-0.31212391403371564,-0.09532405206744997,0.1286094942546404,-0.7411898524281036,-0.7937114013405429,-0.2533700487861391,-0.43803671545280587,0.4784110535405872,10.0,84.0
elasticnet_full,11580,386,0.0010259090612308919,0.021256490280864477,0.47962003454231433,-0.03310129379981206,-0.029187470790924125,-2.2245745155980283,-2.295718070738696,-1.0709385292037352,-0.18456123417871653,0.1201617402424505,-1.5359400904674572,-1.1116462875273683,-0.6899361475355306,-0.8481028142021974,0.40975820379965455,10.0,84.0
ridge_full,11580,386,0.0010329784250667593,0.021408955744538816,0.4740932642487047,-0.03858403064213391,-0.049331246187391195,-3.0209057412293667,-4.4089853027144335,-2.0567648508558176,-0.13485124662724135,0.10412562816403209,-1.2950821906668961,-0.8298178363342045,-0.497173585691847,-0.6196735856918472,0.31735751295336784,10.0,84.0
country_sector_dummy,11580,386,0.0010297188621734216,0.021341644991487548,0.466839378238342,-0.06600065762441057,-0.07867533224336509,-4.881495996087109,-6.510883075250602,-3.0372873887701455,-0.16330905888534208,0.10916500912503466,-1.4959835591484474,-0.991472350285223,-0.7407773420207386,-0.7504440086874054,0.025043177892918825,10.0,84.0
ridge_country_features_only,11580,386,0.0010297188621734216,0.021341644991487548,0.466839378238342,-0.06600065762441057,-0.07867533224336509,-4.881495996087109,-6.510883075250602,-3.0372873887701455,-0.16330905888534208,0.10916500912503466,-1.4959835591484474,-0.991472350285223,-0.7407773420207386,-0.7504440086874054,0.025043177892918825,10.0,84.0
zero_score,11580,386,0.0010217485952230196,0.021186311421178102,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,84.0
