model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days
lagged_return_reversal,27020,386,0.001220849835365552,0.023475139080870934,0.5090303478904515,0.017993106839515716,0.018549405187826412,1.6657036218828174,1.9337327799273498,0.902074590780255,-0.002831112307039851,0.08802894143068637,-0.03216115360502269,-0.38537160157838396,0.18841893630336443,-0.013009635125206934,0.5218356772760917,,10.0,84.0,buffered,0.15,3
ridge_wind_weather_only,27020,386,0.001119612599417788,0.02256437408077031,0.5066247224278312,0.015538217068698797,0.013069642233815274,2.1627689633290132,1.6662404116524998,0.7772910264982026,0.021117129432644717,0.06524927964268588,0.32363774049744376,-0.25527784374229523,0.2146810947738198,0.09703823763096263,0.3047742413027387,,10.0,84.0,buffered,0.15,3
ridge_finance_only,27020,386,0.0011196980846261949,0.02256339804266927,0.5049222797927461,0.011676473547158162,0.011562495419057425,1.085943167635422,1.2678321026812458,0.5914359714413193,-0.012945536975623471,0.08715308306107095,-0.14853791192392038,-0.38202475096190663,0.06408360389773021,-0.05948782467369834,0.3201332346410066,,10.0,84.0,buffered,0.15,3
rolling_momentum_21d,27020,386,0.010345072015778146,0.07223157505576097,0.4902294596595115,0.014193881999453609,0.01115094237305893,1.318783509494303,1.1055145141983516,0.3994717431225561,0.06698677912064224,0.09270133084854255,0.7226086023520709,-0.277091823639993,0.547605094058887,0.5130336654874584,0.08956328645447816,,10.0,50.4,buffered,0.15,5
ridge_wind_weather_only,27020,386,0.0018672821127835167,0.029431785080649173,0.5043671354552184,0.0113649233762373,0.005526096393240744,1.5402735421181937,0.7114355946985672,0.2570734381897749,0.028093833516841176,0.06394001617613707,0.43937795447924877,-0.19924142055456767,0.31673451860120416,0.21516309002977568,0.2631384159881569,,10.0,50.4,buffered,0.15,5
lagged_return_reversal,27020,386,0.0019492944948097395,0.03014040421547038,0.5037749814951887,0.012164382276485962,0.005506105125264501,1.161876331745214,0.5580851576049245,0.20166107984654272,-0.018807063684085,0.08875385305191182,-0.21190137709384646,-0.6632901402153425,0.057676059879825076,-0.14403822583446052,0.5225758697261288,,10.0,50.4,buffered,0.15,5
ridge_finance_only,27020,386,0.0018675665644129025,0.029424790124587465,0.5014803849000741,0.008503794160512505,0.003914131649479215,0.8869725298663624,0.43652275989877254,0.15773515912260985,-0.031056587436388013,0.08067816979226884,-0.384944124493068,-0.621073145266609,-0.1456397371120194,-0.23785402282630502,0.23889711324944485,,10.0,50.4,buffered,0.15,5
