horizon_days,model,n_validation_folds,mean_rankic,min_rankic,positive_rankic_folds,mean_rankic_t,net_pnl_sum,positive_net_pnl_folds,sharpe_mean,turnover_mean,selected
3,lagged_return_reversal,3,0.03254241117729638,-0.00589700983005072,2,2.1808618103860775,0.46109044315437575,2,0.2907868223884989,0.5394506008824529,True
3,ridge_finance_only,3,0.017344198503774264,-0.0021170040357665508,2,1.3135254315776959,-0.08817389014042928,1,0.4012371684311813,0.34501865829514494,True
3,ridge_wind_weather_only,3,0.01617009378272288,0.004328657150483433,3,1.449157849284038,0.3505565327264587,3,0.7140187080199435,0.45414993192120434,True
3,rolling_momentum_21d,3,0.0048067440517407896,-0.009435256859505713,2,0.3225557966503075,0.3448002274333654,2,0.42974674076655656,0.08892058065030294,False
3,elasticnet_full,3,-0.001911718345221844,-0.010936786404772419,1,-0.0947585687590194,-0.5507159783901037,0,-0.7112560746484776,0.15929422025979725,False
3,ridge_price_only,3,-0.010466239639868294,-0.048973472073432216,1,-0.9012623733781102,-0.36496689839341223,1,-0.864031252938049,0.35887083758255894,False
3,ridge_full,3,-0.020536793189903427,-0.03572863193567018,0,-1.6253366600509125,-0.6175883982428964,0,-0.960249323232941,0.11045534396661018,False
3,rolling_mean_5d,3,-0.026398036454616847,-0.042283879468716215,0,-1.7104087178795548,-0.3963804720951656,1,-0.6119586069857116,0.2522518673340687,False
3,country_sector_dummy,3,-0.04146497456329545,-0.06402480755413749,0,-2.662140286712063,-1.053131035268195,0,-1.6163712783918196,0.006525855443896361,False
3,ridge_country_features_only,3,-0.04146497456329545,-0.06402480755413749,0,-2.662140286712063,-1.053131035268195,0,-1.6163712783918196,0.006525855443896361,False
3,zero_score,3,,,0,,0.0,0,,0.0,False
5,lagged_return_reversal,3,0.034593288775787,0.005237326232047331,3,2.3666432959427124,0.6532487471979201,2,0.34027466509637533,0.5397212439580753,True
5,ridge_finance_only,3,0.014188872111473821,-0.005336221418579779,2,1.0690109720114556,-0.16561875969405704,2,0.47350470297799374,0.2766022384665438,True
5,rolling_momentum_21d,3,0.013658305567668762,-0.0033795603290410255,2,0.8870393234921066,0.5228096675546507,2,0.38075382498273286,0.08902053091794944,True
5,ridge_wind_weather_only,3,0.011954910157631364,-0.0037699079626016003,2,1.2249288351495657,0.3034977629370363,1,0.07033297644927694,0.4135063734737437,True
5,ridge_price_only,3,-0.007695073889012486,-0.050730175718584854,1,-0.5936089778706602,-0.6230347601324737,1,-0.9461379208318091,0.3606501666316515,False
5,elasticnet_full,3,-0.012401791921346557,-0.05397114290568468,1,-0.5820321612417975,-0.8059986743671047,1,-0.4594104996256975,0.07731903769810873,False
5,rolling_mean_5d,3,-0.030631900814254844,-0.05614329623252503,0,-2.0525238274158615,-0.6347715135356083,1,-0.8100541566621207,0.25336359607225656,False
5,ridge_full,3,-0.03205686760754623,-0.06465947817417349,0,-2.498188032511439,-0.8915719598084006,1,-0.6629694490730956,0.08630394442122262,False
5,country_sector_dummy,3,-0.04857309821450232,-0.0730076295149509,0,-3.1105605921887083,-1.6947180267622053,0,-1.5541184345549686,0.006525855443896361,False
5,ridge_country_features_only,3,-0.04857309821450232,-0.0730076295149509,0,-3.1105605921887083,-1.6947180267622053,0,-1.5541184345549686,0.006525855443896361,False
5,zero_score,3,,,0,,0.0,0,,0.0,False
