model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_mean_5d,0.022580346093860986,0.015256586709264641,1.0658145333106666,1.025756552147605,0.6152759476824048,0.39932558760683756
rolling_momentum_21d,0.019111544406326574,0.027843114347110908,0.9929035897640496,0.7679361414952345,0.4112763627459557,0.176706063034188
lagged_return_reversal,0.0064386601645518736,0.009673354085150241,0.25695321574748403,-1.626625059893365,-0.8380207782117621,0.8605335202991453
hist_gradient_boosting_full,0.0021442628951639925,0.02978752488153051,-0.009197228295656798,0.19761880425568604,-0.19050057370243328,0.4917701655982906
ridge_wind_weather_only,-0.004195792559312606,0.011634718125765109,-0.328592264866026,-0.31537849826759806,-0.16851739480406042,0.7649038461538461
ridge_price_only,-0.005595547241202017,-0.017442728286100228,-0.2769879299902262,-1.5227945119019948,-0.4598929529938842,0.5951956463675213
ridge_finance_only,-0.012812259943204183,-0.007761768884037422,-0.6404624078674044,-1.3953389139215935,-0.7765681358759821,0.48515958867521364
elasticnet_full,-0.028558430425378197,-0.03341070664651013,-1.4186429337090083,-2.2689836080157324,-1.1141367907409132,0.40340544871794864
ridge_full,-0.04405541762878667,-0.03662822370971519,-2.7109079104263327,-2.0791381464167333,-0.9840628851246065,0.31609909188034185
country_sector_dummy,-0.06457757043718064,-0.056094667885805256,-3.637133705345691,-2.2191523773552784,-0.7709138724643423,0.04336271367521368
ridge_country_features_only,-0.06457757043718064,-0.056094667885805256,-3.637133705345691,-2.2191523773552784,-0.7709138724643423,0.04336271367521368
zero_score,,,,,0.0,0.0
