model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
ridge_wind_weather_only,0.02205869156625627,0.022349843609750942,1.156618117100412,-2.310286234082913,-0.7661046595200247,1.1388788728632477
hist_gradient_boosting_full,0.020705279834862433,0.0012660418285239232,0.8867685486812537,-0.5437965947348626,-0.10792067322495191,1.0315037393162392
rolling_mean_5d,0.018869795750174972,0.02422965787243409,1.2857602358074127,-1.0035943690470062,-0.2390611176785426,0.7122796474358974
rolling_momentum_21d,0.011370427708413058,0.004542301083684496,0.8974717297933688,0.31132726143853456,0.3076479388378746,0.34401709401709396
ridge_finance_only,0.009204086925235095,0.004995234138002445,0.6951368600767535,-1.5770793968018444,-0.5423057099700139,1.0040865384615385
elasticnet_full,-0.0017457233556247992,-0.018243798292013825,-0.13862801816524206,-0.395733203686125,-0.12899397464345658,0.5817441239316239
ridge_full,-0.010920777349497363,-0.01822390832674377,-0.6574638688015638,-1.2099640608487552,-0.26044626960890643,0.8246928418803418
lagged_return_reversal,-0.014532825368122221,0.0006712293778682153,-1.0688752033900197,-1.3303090090632175,-0.5830760067984895,1.5144798344017094
ridge_price_only,-0.016226632370969392,-0.016423129252992243,-0.7927517922771073,-0.7870306104409076,-0.38801921045571725,0.8890992254273504
country_sector_dummy,-0.03087238640674254,-0.03842101340470926,-1.7309018937773555,1.2727021178335736,0.4642898095431739,0.07917000534188035
ridge_country_features_only,-0.03087238640674254,-0.03842101340470926,-1.7309018937773555,1.2727021178335736,0.4642898095431739,0.07917000534188035
zero_score,,,,,0.0,0.0
