model,target_time,n_names,ic,rankic,directional_accuracy,gross_return,net_return,turnover,gross_exposure,net_exposure,max_group_net_exposure
rolling_momentum_21d,2023-01-02 23:00:00+00:00,70,-0.20240186185280892,-0.07154292313215001,0.45714285714285713,-0.0055866808737112745,-0.0065866808737112745,1.0,1.0,0.0,
rolling_momentum_21d,2023-01-03 23:00:00+00:00,70,-0.26146833702890293,-0.2677829392363796,0.38571428571428573,-0.010087671032696631,-0.010087671032696631,0.0,1.0,0.0,
rolling_momentum_21d,2023-01-04 23:00:00+00:00,70,-0.39374496587111835,-0.3344064386317907,0.34285714285714286,-0.025163152192931776,-0.025163152192931776,0.0,1.0,0.0,
rolling_momentum_21d,2023-01-05 23:00:00+00:00,70,-0.23552302173006942,-0.23656722946373893,0.37142857142857144,-0.013682794998665624,-0.013682794998665624,0.0,1.0,0.0,
rolling_momentum_21d,2023-01-06 23:00:00+00:00,70,-0.23004020386841478,-0.20577377307322192,0.3142857142857143,-0.016079720160375666,-0.016079720160375666,0.0,1.0,0.0,
rolling_momentum_21d,2023-01-09 23:00:00+00:00,70,-0.23188434230417773,-0.2031843233312921,0.35714285714285715,-0.02365613193644542,-0.02365613193644542,0.0,1.0,0.0,
rolling_momentum_21d,2023-01-10 23:00:00+00:00,70,-0.2805112902608936,-0.22096054588399963,0.37142857142857144,-0.02185581774754967,-0.021927246318978244,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-01-11 23:00:00+00:00,70,-0.03636082652624081,-0.11692765287376433,0.44285714285714284,-0.0019379327873344364,-0.002009361358763008,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-01-12 23:00:00+00:00,70,-0.10274166305345983,-0.12368121774122999,0.42857142857142855,-0.008056570493628104,-0.008270856207913818,0.21428571428571427,1.0,0.0,
rolling_momentum_21d,2023-01-13 23:00:00+00:00,70,-0.167094276237119,-0.22778409587962556,0.4,-0.010761868294749448,-0.01090472543760659,0.14285714285714285,1.0,0.0,
rolling_momentum_21d,2023-01-16 23:00:00+00:00,70,-0.05970578722994588,-0.15653923541247483,0.38571428571428573,-0.001927733887515818,-0.0021420196018015324,0.21428571428571427,1.0,0.0,
rolling_momentum_21d,2023-01-17 23:00:00+00:00,70,0.061078871804383955,-0.03070597498031668,0.4857142857142857,0.005879986712783418,0.005808558141354846,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-01-18 23:00:00+00:00,70,-0.19717651060590685,-0.24017146356399266,0.38571428571428573,-0.012693649619098357,-0.012765078190526928,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-01-19 23:00:00+00:00,70,-0.1990450627352583,-0.18932726795555946,0.4714285714285714,-0.011331195737918485,-0.011331195737918485,0.0,1.0,0.0,
rolling_momentum_21d,2023-01-20 23:00:00+00:00,70,-0.15726017745168586,-0.07469228145051318,0.5142857142857142,-0.0047125972348421785,-0.00478402580627075,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-01-23 23:00:00+00:00,70,-0.183031599532237,-0.05576065086169189,0.5142857142857142,-0.006499685261619743,-0.006571113833048314,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-01-24 23:00:00+00:00,70,-0.22577798948996577,-0.1632928002799405,0.38571428571428573,-0.011022645210598992,-0.011236930924884706,0.21428571428571427,1.0,0.0,
rolling_momentum_21d,2023-01-25 23:00:00+00:00,70,-0.19506026274054938,-0.2829323768699151,0.45714285714285713,-0.00927328770699226,-0.00927328770699226,0.0,1.0,0.0,
rolling_momentum_21d,2023-01-26 23:00:00+00:00,70,0.08241143466563342,0.14530662234275216,0.4714285714285714,0.0027318270262088394,0.0025175413119231252,0.21428571428571427,1.0,0.0,
rolling_momentum_21d,2023-01-27 23:00:00+00:00,70,0.1290596391373103,0.14915580439156678,0.4714285714285714,0.0032028035280648928,0.0031313749566363215,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-01-30 23:00:00+00:00,70,0.20189413329855657,0.19706062461726884,0.5857142857142857,0.0080530321831188,0.007910175040261657,0.14285714285714285,1.0,0.0,
rolling_momentum_21d,2023-01-31 23:00:00+00:00,70,0.18265273859784315,0.1887673869302773,0.4714285714285714,0.004373362992212418,0.004230505849355275,0.14285714285714285,1.0,0.0,
rolling_momentum_21d,2023-02-01 23:00:00+00:00,70,0.20830248970573523,0.21518677281077772,0.45714285714285713,0.009399982119472752,0.009399982119472752,0.0,1.0,0.0,
rolling_momentum_21d,2023-02-02 23:00:00+00:00,70,0.21581715363300913,0.2081882599947511,0.45714285714285713,0.0062265270150084085,0.006155098443579837,0.07142857142857142,1.0,0.0,
rolling_momentum_21d,2023-02-03 23:00:00+00:00,70,0.20139091006554283,0.2260694602396991,0.4142857142857143,0.008906446856816836,0.008906446856816836,0.0,1.0,0.0,
rolling_momentum_21d,2023-02-06 23:00:00+00:00,70,0.15325992826652,0.2352025194646138,0.38571428571428573,0.0034476027968329934,0.0033047456539758505,0.14285714285714285,1.0,0.0,
