model,metric,observed,ci_low,ci_high,bootstrap_mean,p_le_zero,n_boot,block_size
rolling_momentum_21d,mean_rankic,0.011154024619635937,-0.027738834516877753,0.05547864080745202,0.014824515951083047,0.251,1000,20
rolling_momentum_21d,mean_ic,0.01419388092138748,-0.02214518733615086,0.05984481076439263,0.019217859049815277,0.187,1000,20
rolling_momentum_21d,net_pnl,0.5130335910045377,-0.43907885170435057,1.6816741541902287,0.642035189552813,0.132,1000,20
rolling_momentum_21d,sharpe,0.7226085121028694,-0.6784733120547325,2.3841409246844076,0.9044811123065198,0.132,1000,20
rolling_momentum_21d,mean_turnover,0.08956328645447816,0.07864544781643226,0.0978904515173945,0.08824444855662472,0.0,1000,20
