model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year
lagged_return_reversal,27020,386,0.0004704131978846301,0.014334262338958048,0.5041080680977054,0.009681178953545973,0.01791743149734818,0.8725327736898998,1.8028459945853041,1.4566836558013874,-0.12683233669876334,0.06567156656609505,-1.931312793811811,-0.20850611509608336,0.16590946872771323,-0.19427492843540733,0.9331201999044575,0.0,10.0,252.0
ridge_wind_weather_only,27020,386,0.0003811339298089331,0.012673997788787049,0.5028867505551443,0.010788763973954145,0.009605677699266481,1.4680326078954484,1.2251602310695409,0.9899186562229716,-0.039993542886152075,0.05885632897734479,-0.6795113385604894,-0.11138998132831598,0.11425068768654414,-0.06125995061132818,0.4546907727924154,0.0,10.0,252.0
rolling_momentum_21d,27020,386,0.008939017671696388,0.06666899295370372,0.49703923019985197,0.004300816723295793,0.005888632176203592,0.3849479909299881,0.5723070238623503,0.4624190253989962,-0.058263406167198835,0.0674505191118379,-0.863794777777675,-0.13859589144623843,-0.014280202185521888,-0.0892447411926141,0.19420865027744097,0.0,10.0,252.0
ridge_finance_only,27020,386,0.0003812128044880665,0.012675521925700074,0.4984826054774241,0.0007547452181289286,0.0011172110327033692,0.06944213983726692,0.117341987015952,0.09481129011505707,-0.05144557581400313,0.061825579344997765,-0.8321082690859659,-0.16065876719323552,0.16754596112650758,-0.07880155660398892,0.6382060044831515,0.0,10.0,252.0
rolling_mean_5d,27020,386,0.00043983797563296206,0.013898629430469905,0.49844559585492226,-0.007688733281712663,-0.003193552790707596,-0.7157535686717803,-0.32358004616061714,-0.26144982211531137,-0.22412315386202786,0.06195389900218714,-3.6175794820293024,-0.3556243238718081,-0.17754088630233944,-0.34329975155056647,0.42942711204203876,0.0,10.0,252.0
ridge_price_only,27020,386,0.00038135039966983203,0.012675224551906018,0.5007031828275351,-0.00846535587320474,-0.004986316838469678,-1.0912534237912561,-0.6422069889124212,-0.5188975803811415,-0.08582715103668127,0.058470307912186555,-1.4678758176813524,-0.15042977275614222,-0.02406114269735494,-0.13146539801650386,0.27824936611178486,0.0,10.0,252.0
elasticnet_full,27020,386,0.00038129238495496947,0.012674328929627368,0.4999259807549963,-0.008914434233412753,-0.007398291770496784,-0.761203009661072,-0.7369304575946426,-0.5954333072622084,-0.03773566246934986,0.05354281691846375,-0.7047754421814342,-0.09390966573707316,0.11656025088492525,-0.057801451242734316,0.4517142542167346,0.0,10.0,252.0
ridge_full,27020,386,0.00038224463624608745,0.01271131925941776,0.48926720947446334,-0.017388538719092236,-0.020351347614296432,-1.7927595970705505,-2.5051914042677086,-2.0241725495195797,-0.029723282762755047,0.05667291253438556,-0.5244707115541455,-0.11345179086405245,0.15114523844293298,-0.04552852042231527,0.5095175100135965,0.0,10.0,252.0
country_sector_dummy,27020,386,0.0003819229645592083,0.012693311356370626,0.487120651369356,-0.026492467364693354,-0.030073691589441787,-2.794604957566719,-3.217755793888599,-2.599918288858564,-0.0670983080348801,0.05905591953176165,-1.1361825972211486,-0.131739160202264,-0.06513926919696006,-0.10277756706930047,0.09750854371072648,0.0,10.0,252.0
ridge_country_features_only,27020,386,0.0003819229645592083,0.012693311356370626,0.487120651369356,-0.026492467364693354,-0.030073691589441787,-2.794604957566719,-3.217755793888599,-2.599918288858564,-0.0670983080348801,0.05905591953176165,-1.1361825972211486,-0.131739160202264,-0.06513926919696006,-0.10277756706930047,0.09750854371072648,0.0,10.0,252.0
zero_score,27020,386,0.00038122953333546435,0.012672506624912656,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,252.0
