horizon_days,model,n_validation_folds,mean_rankic,min_rankic,positive_rankic_folds,mean_rankic_t,net_pnl_sum,positive_net_pnl_folds,sharpe_mean,turnover_mean,selected
3,lagged_return_reversal,3,0.03254241117729638,-0.00589700983005072,2,2.1808618103860775,0.46109044315437575,2,0.2907868223884989,0.5394506008824529,True
3,ridge_finance_only,3,0.017344198503774264,-0.0021170040357665508,2,1.3135254315776959,-0.08817389014042928,1,0.4012371684311813,0.34501865829514494,True
3,ridge_wind_weather_only,3,0.01617009378272288,0.004328657150483433,3,1.449157849284038,0.3505565327264587,3,0.7140187080199435,0.45414993192120434,True
3,rolling_momentum_21d,3,0.0048067440517407896,-0.009435256859505713,2,0.3225557966503075,0.3448002274333654,2,0.42974674076655656,0.08892058065030294,False
3,elasticnet_full,3,-0.001911718345221844,-0.010936786404772419,1,-0.0947585687590194,-0.5507159783901037,0,-0.7112560746484776,0.15929422025979725,False
3,ridge_price_only,3,-0.010466239639868294,-0.048973472073432216,1,-0.9012623733781102,-0.36496689839341223,1,-0.864031252938049,0.35887083758255894,False
3,ridge_full,3,-0.020536793189903427,-0.03572863193567018,0,-1.6253366600509125,-0.6175883982428964,0,-0.960249323232941,0.11045534396661018,False
3,rolling_mean_5d,3,-0.026398036454616847,-0.042283879468716215,0,-1.7104087178795548,-0.3963804720951656,1,-0.6119586069857116,0.2522518673340687,False
3,country_sector_dummy,3,-0.04146497456329545,-0.06402480755413749,0,-2.662140286712063,-1.053131035268195,0,-1.6163712783918196,0.006525855443896361,False
3,ridge_country_features_only,3,-0.04146497456329545,-0.06402480755413749,0,-2.662140286712063,-1.053131035268195,0,-1.6163712783918196,0.006525855443896361,False
3,zero_score,3,,,0,,0.0,0,,0.0,False
