name,country,latitude,longitude,capacity_mw,physical_cluster
Bourthes,FRA,50.6125,1.9343,20.7,1
Bousbach,FRA,49.145,6.9463,8.0,1
Boutavent,FRA,49.6384,1.7525,2.4,1
Bovée-sur-Barboure,FRA,48.6371,5.5094,12.0,1
Brachy,FRA,49.8161,0.9491,12.0,1
Brailly-Cornehotte,FRA,50.2242,1.9579,11.5,1
Brem-sur-Mer,FRA,46.6118,-1.8116,4.25,1
Bressuire,FRA,46.8545,-0.4796,15.65,1
Breteuil,FRA,49.634,2.2921,12.0,1
Brissy-Hamégicourt,FRA,49.7429,3.4004,6.0,1
Broquiès,FRA,44.0179,2.7069,1.7,3
Brusque,FRA,43.7645,2.9482,15.6,3
Bussière-Saint-Georges,FRA,46.4018,2.1546,17.0,1
Cabrespine,FRA,43.3763,2.4714,10.4,3
Caix,FRA,49.8105,2.6453,12.0,1
Calenzana,FRA,42.4783,8.8041,6.0,14
Callengeville,FRA,49.8242,1.5219,24.5,1
Cambernon,FRA,49.0869,-1.3806,9.2,1
Cambon-et-Salvergues,FRA,43.6536,2.8782,29.9,3
Campbon,FRA,47.416,-1.967,12.0,1
Campigny,FRA,49.3183,0.5617,10.0,1
Camplong,FRA,43.6889,3.1118,2.7,3
Campénéac,FRA,47.9624,-2.2778,12.0,1
Candas,FRA,50.0992,2.2811,10.0,1
Canet,FRA,43.2264,2.8311,11.5,3
Cast,FRA,48.1489,-4.1185,10.0,1
Castanet-le-Haut,FRA,43.6735,2.9543,13.8,3
Castelnau-Pégayrols,FRA,44.1659,2.9008,30.81,3
Caudebronde,FRA,43.388,2.3031,4.0,3
Caulières,FRA,49.7864,1.8994,17.5,1
Caurel,FRA,48.2173,-3.0396,4.25,1
Celles-sur-Belle,FRA,46.2404,-0.218,9.4,1
Cerisières,FRA,48.3086,5.0777,8.0,1
Cernon,FRA,48.8462,4.3626,28.9,1
Chambonchard,FRA,46.161,2.5411,12.0,1
Champdeniers-Saint-Denis,FRA,46.4799,-0.3827,9.0,1
Champfleury,FRA,48.6299,4.0391,36.0,1
Champlin,FRA,49.832,4.2979,27.5,1
Champéon,FRA,48.3561,-0.5127,4.6,1
Chantrigné,FRA,48.4126,-0.5606,9.2,1
Chapelle-Vallon,FRA,48.4344,4.0424,24.0,1
Charly-sur-Marne,FRA,48.9872,3.2921,22.0,1
Charmont-en-Beauce,FRA,48.2232,2.1458,30.0,1
Charmont-sous-Barbuise,FRA,48.4155,4.1812,24.0,1
Chastel-Nouvel,FRA,44.5707,3.4925,12.0,3
Chaudeyrac,FRA,44.6418,3.7513,1.7,3
Chauvé,FRA,47.1586,-2.0118,12.0,1
Chelers,FRA,50.3818,2.4878,18.0,1
Chermisey,FRA,48.4149,5.5678,8.0,1
Chervey,FRA,48.1346,4.4899,12.5,1
Chicheboville,FRA,49.1052,-0.2198,12.0,1
Château-Porcien,FRA,49.5342,4.2472,10.0,1
Châteaulin,FRA,48.2033,-4.0733,10.0,1
Châtres,FRA,48.4929,3.8369,7.5,1
Chépy,FRA,50.0636,1.6426,4.4,1
Chéry,FRA,47.1159,2.0261,13.9,1
Civray,FRA,46.9733,2.1855,20.0,1
Clamanges,FRA,48.8298,4.0833,10.02,1
Clamecy,FRA,47.4613,3.511,12.336,1
Clitourps,FRA,49.6513,-1.3719,3.3,1
Cocquerel,FRA,50.0554,1.9604,12.0,1
Collorec,FRA,48.2915,-3.7716,8.4,1
Conilhac-Corbières,FRA,43.1849,2.7164,16.7,3
Conilhac-de-la-Montagne,FRA,42.9788,2.2053,17.0,3
Conteville,FRA,49.0892,-0.2442,4.0,1
Contreuve,FRA,49.3619,4.6155,12.0,1
Coole,FRA,48.7395,4.3915,12.0,1
Coquelles,FRA,50.9291,1.8143,2.4,1
Coren,FRA,45.0873,3.1086,15.0,3
Cormainville,FRA,48.1207,1.616,60.0,1
