name,country,latitude,longitude,capacity_mw
Pussay,FRA,48.3506,1.9985,9.2
Périgny-la-Rose,FRA,48.5539,3.6246,14.0
Péré,FRA,46.0924,-0.8163,8.4
Quesnoy-sur-Airaines,FRA,49.9359,1.9961,34.5
Quincy,FRA,47.1302,2.1559,12.0
Quinquempoix,FRA,49.5472,2.4189,11.5
Quittebeuf,FRA,49.1072,1.006,8.28
Radenac,FRA,47.9488,-2.7136,8.2
Radinghem,FRA,50.547,2.1176,8.0
Rageade,FRA,45.1481,3.292,26.0
Raival,FRA,48.8863,5.2511,12.0
Rambures,FRA,49.9412,1.6954,12.0
Raucourt-et-Flaba,FRA,49.5896,4.9623,12.0
Reffroy,FRA,48.6263,5.4708,12.3
Rehaincourt,FRA,48.3614,6.4694,6.8
Remilly-Wirquin,FRA,50.67,2.1755,12.3
Renneville,FRA,49.6513,4.136,18.45
Repaix,FRA,48.6125,6.8308,13.2
Rethonvillers,FRA,49.7362,2.8559,17.7
Retiers,FRA,47.9058,-1.3436,11.5
Rhèges,FRA,48.5322,3.9947,12.3
Ribemont,FRA,49.7885,3.4706,10.0
Rilhac-Lastours,FRA,45.6586,1.1137,2.0
Rimboval,FRA,50.5151,1.9891,10.0
Riols,FRA,43.5016,2.7979,3.6
Rivesaltes,FRA,42.7789,2.8767,9.0
Roche-Charles-la-Mayrand,FRA,45.4478,3.02,16.3
Rochefort-en-Valdaine,FRA,44.5122,4.858,7.5
Roinville,FRA,48.4419,1.7561,8.0
Roman,FRA,48.8364,1.0452,10.0
Ronchois,FRA,49.724,1.6232,12.0
Roquefort-des-Corbières,FRA,42.9921,2.9299,13.855
Roquetaillade,FRA,42.9988,2.2072,5.93
Roudouallec,FRA,48.1202,-3.6944,5.6
Roumens,FRA,43.4643,1.9361,8.35
Roussas,FRA,44.4426,4.7873,21.0
Rouy-le-Petit,FRA,49.7656,2.9528,16.4
Rouécourt,FRA,48.3284,5.0753,12.0
Roye,FRA,49.6727,2.7927,34.0
Rully,FRA,48.829,-0.7154,12.0
Rumont,FRA,48.8297,5.2712,24.6
Réclainville,FRA,48.3381,1.7387,6.0
Rémérangles,FRA,49.4485,2.2911,24.0
Rézentières,FRA,45.1344,3.1057,12.0
Sachin,FRA,50.4926,2.367,9.2
Saffré,FRA,47.4913,-1.5793,16.304
Sains-lès-Pernes,FRA,50.4789,2.3488,6.4
Saint-Agrève,FRA,45.0053,4.4131,13.812
Saint-Alban,FRA,48.5547,-2.5089,10.0
Saint-Allouestre,FRA,47.9081,-2.7358,9.693
Saint-Amand,FRA,49.0443,-0.9484,13.8
Saint-Amand-sur-Fion,FRA,48.8267,4.6109,17.9
Saint-André-Farivillers,FRA,49.5819,2.3001,11.5
Saint-Arnac,FRA,42.777,2.5354,1.75
Saint-Aubin-sur-Aire,FRA,48.7149,5.4467,23.7
Saint-Barnabé,FRA,48.1385,-2.7018,12.0
Saint-Bihy,FRA,48.3754,-2.9682,3.2
Saint-Christophe-du-Bois,FRA,47.0289,-0.9652,8.0
Saint-Cirgues-en-Montagne,FRA,44.7679,4.0883,18.45
Saint-Clément,FRA,44.9504,4.2607,1.2
Saint-Congard,FRA,47.768,-2.3283,8.4
Saint-Coulitz,FRA,48.1822,-4.0672,8.8
Saint-Crépin,FRA,45.9968,-0.7402,9.5
Saint-Cyr-en-Pail,FRA,48.4335,-0.2521,10.25
Saint-Fraigne,FRA,45.9569,-0.0148,12.0
Saint-François,FRA,16.273,-61.2811,4.34
Saint-Félix-Lauragais,FRA,43.4508,1.9019,10.02
Saint-Genou,FRA,46.9111,1.3511,12.0
Saint-Georges-des-Gardes,FRA,47.1673,-0.7645,10.0
Saint-Georges-sur-Arnon,FRA,46.9823,2.0734,46.0
Saint-Germain-de-Longue-Chaume,FRA,46.7188,-0.3437,10.0
Saint-Germainmont,FRA,49.521,4.135,20.5
Saint-Gildas,FRA,48.4222,-3.0068,9.2
Saint-Gouéno,FRA,48.2799,-2.556,5.95
Saint-Guen,FRA,48.2112,-2.9132,9.2
Saint-Hilaire-la-Croix,FRA,46.0401,3.0454,1.2
Saint-Jacques-de-Néhou,FRA,49.4205,-1.616,10.25
Saint-Jean-Lachalm,FRA,44.942,3.7239,18.6
Saint-Just-en-Chaussée,FRA,49.5114,2.4175,6.9
Saint-Loup-en-Champagne,FRA,49.4505,4.2684,26.0
Saint-Léger,FRA,50.1839,2.8514,10.25
Saint-Léger-lès-Domart,FRA,50.056,2.1407,12.0
Saint-Macoux,FRA,46.1184,0.2263,12.0
Saint-Malo-des-Trois-Fontaines,FRA,48.0171,-2.469,10.5
Saint-Mandé-sur-Brédoire,FRA,46.0371,-0.2779,12.0
Saint-Martin-de-Crau,FRA,43.6121,4.8564,7.2
Saint-Martin-des-Besaces,FRA,49.0087,-0.8431,6.0
Saint-Martin-du-Mont,FRA,47.4152,4.8122,12.0
Saint-Martin-lès-Melle,FRA,46.2261,-0.1684,12.0
Saint-Martin-sur-Oust,FRA,47.7627,-2.2644,9.0
Saint-Michel-Chef-Chef,FRA,47.1753,-2.1272,10.25
Saint-Ouen-Domprot,FRA,48.614,4.3926,10.0
Saint-Philbert-de-Bouaine,FRA,46.9925,-1.5071,16.4
Saint-Pierre-Bénouville,FRA,49.7377,0.9745,12.0
Saint-Pierre-de-Maillé,FRA,46.6777,0.8251,24.0
Saint-Pierre-le-Viger,FRA,49.8261,0.8502,12.0
Saint-Quentin,FRA,49.8473,3.2779,11.0
Saint-Quentin-en-Mauges,FRA,47.2888,-0.8988,16.0
Saint-Quentin-la-Motte-Croix-au-,FRA,50.0734,1.4527,9.2
Saint-Sauveur,FRA,46.8024,0.6456,22.9
Saint-Sauveur-de-Ginestoux,FRA,44.7019,3.6154,6.68
Saint-Servais,FRA,48.3862,-3.374,6.1
Saint-Servant,FRA,47.899,-2.5122,12.0
Saint-Vincent-des-Landes,FRA,47.6556,-1.5048,12.0
Saint-Ébremond-de-Bonfossé,FRA,49.0725,-1.1451,6.93
Saint-Étienne-de-Lugdarès,FRA,44.6475,3.9732,22.6
Saint-Étienne-du-Gué-de-l'Isle,FRA,48.0853,-2.6433,8.8
Sainte-Marie,FRA,47.6934,-2.0138,1.25
Sainte-Rose,FRA,-21.192,55.7545,6.256
Sainte-Suzanne,FRA,-20.9511,55.5908,10.175
Sainte-Thorette,FRA,47.0778,2.2069,20.0
Sallen,FRA,49.117,-0.8395,8.3
Salles-Curan,FRA,44.1597,2.8299,87.0
Salles-de-Villefagnan,FRA,45.9595,0.1704,20.7
Santilly,FRA,48.1488,1.8797,10.0
Saulces-Champenoises,FRA,49.4465,4.5042,20.0
Saulgond,FRA,45.9561,0.7864,6.0
Saulzet,FRA,46.1373,3.2207,1.2
Sauveterre,FRA,43.4532,2.5599,12.0
Savières,FRA,48.4056,3.9341,12.0
Scaër,FRA,48.0279,-3.7304,11.5
Semoine,FRA,48.6737,4.0936,12.0
Sepmeries,FRA,50.2772,3.5606,2.0
Seraumont,FRA,48.4311,5.6079,10.25
Sermaises,FRA,48.2985,2.2037,12.0
Servières,FRA,44.5858,3.4181,2.0
Silfiac,FRA,48.1448,-3.1732,3.4
Sion-les-Mines,FRA,47.7292,-1.581,10.0
Sorbon,FRA,49.5514,4.3721,6.6
Sortosville-en-Beaumont,FRA,49.4248,-1.7098,8.25
Soudan,FRA,46.4326,-0.0955,10.25
Soudan,FRA,47.7256,-1.2902,6.9
Souilly,FRA,49.0294,5.3014,18.0
Soulangy,FRA,48.9397,-0.2143,10.0
Sourdeval-les-Bois,FRA,48.912,-1.2768,2.0
Sourdon,FRA,49.708,2.4008,13.8
Souvigné,FRA,46.3587,-0.1704,8.0
Stenay,FRA,49.5005,5.1981,11.5
Séglien,FRA,48.1024,-3.1517,9.25
Ségur,FRA,44.2911,2.8443,12.0
Séry-lès-Mézières,FRA,49.765,3.4235,8.0
Sévigny-Waleppe,FRA,49.6174,4.0803,18.45
Talizat,FRA,45.1231,3.0534,18.0
Tangry,FRA,50.4614,2.3595,9.2
Tarzy,FRA,49.8762,4.2968,8.0
Tellancourt,FRA,49.509,5.6303,16.0
Terminiers,FRA,48.0896,1.7296,21.4
Terre-de-Bas,FRA,15.8544,-61.6334,1.925
Thaas,FRA,48.6395,3.8703,12.0
Thicourt,FRA,48.9916,6.5588,8.0
Thory,FRA,49.72,2.4307,13.8
Togny-aux-Boeufs,FRA,48.8473,4.4212,22.0
Tournoisis,FRA,48.0009,1.6034,36.0
Tourville-la-Chapelle,FRA,49.9454,1.259,11.0
Touvois,FRA,46.9066,-1.6792,8.2
Trans,FRA,48.2832,-0.3087,6.9
Trayes,FRA,46.669,-0.4826,10.0
Treilles,FRA,42.9178,2.9436,13.0
Trébry,FRA,48.3456,-2.5575,9.0
Trécon,FRA,48.8666,4.0876,12.25
Trémeheuc,FRA,48.4387,-1.6977,12.0
Trémont,FRA,48.5993,0.2735,2.4
Tuchan,FRA,42.9063,2.7278,11.7
Turcey,FRA,47.4088,4.7193,22.0
Téterchen,FRA,49.2303,6.5678,9.0
Vairé,FRA,46.6054,-1.7499,4.2
Valanjou,FRA,47.2181,-0.6063,12.0
Valhuon,FRA,50.434,2.384,4.0
Valonne,FRA,47.3422,6.6686,10.0
Vanault-le-Châtel,FRA,48.8658,4.7049,8.5
Vatan,FRA,47.0539,1.8255,18.0
Vaudeville-le-Haut,FRA,48.4492,5.5892,8.2
Vauvillers,FRA,49.8429,2.7066,12.0
Vaux-Andigny,FRA,50.0109,3.5233,12.0
Vaux-lès-Mouzon,FRA,49.6033,5.1364,7.269
Venoy,FRA,47.8052,3.6544,12.0
Verchin,FRA,50.4939,2.1804,18.2
Vernoux-en-Gâtine,FRA,46.6225,-0.5176,8.0
Vesvres-sous-Chalancey,FRA,47.6958,5.171,12.0
Veulettes-sur-Mer,FRA,49.8454,0.5876,8.0
Vieilmoulin,FRA,47.3141,4.6724,12.0
Villemeux-sur-Eure,FRA,48.6715,1.4578,12.0
Villeret,FRA,49.9495,3.1883,4.0
Villers-le-Sec,FRA,49.7713,3.5038,6.0
Villeselve,FRA,49.6861,3.1125,10.25
Villeseneux,FRA,48.8443,4.1431,12.25
Villesèque-des-Corbières,FRA,43.0193,2.8696,55.31
Villeveyrac,FRA,43.5006,3.5933,14.0
Villotte-Saint-Seine,FRA,47.4298,4.7126,8.0
Vincly,FRA,50.5561,2.1791,9.9
Vis-en-Artois,FRA,50.2457,2.9353,2.4
Vitry-la-Ville,FRA,48.8249,4.4015,34.0
Vitry-lès-Nogent,FRA,47.9864,5.3435,4.05
Viviers-sur-Chiers,FRA,49.4655,5.6314,20.8
Vix,FRA,46.3542,-0.8573,10.0
Viâpres-le-Petit,FRA,48.5816,4.053,2.0
Vouarces,FRA,48.5924,3.8911,12.0
Vouthon-Haut,FRA,48.4742,5.6026,10.25
Vron,FRA,50.3162,1.7646,17.2
Vyt-lès-Belvoir,FRA,47.3487,6.6263,10.0
Wancourt,FRA,50.2557,2.8558,2.0
Woelfling-lès-Sarreguemines,FRA,49.0858,7.1844,10.0
Xambes,FRA,45.8242,0.1068,13.8
Yvignac-la-Tour,FRA,48.3493,-2.1711,8.0
Échalot,FRA,47.6073,4.8348,16.0
Écly,FRA,49.5543,4.287,10.0
Éguilly-sous-Bois,FRA,48.1391,4.538,12.5
Épehy,FRA,50.0062,3.1329,18.4
Épense,FRA,48.9745,4.8313,4.25
Épizon,FRA,48.3735,5.3222,80.0
Érize-Saint-Dizier,FRA,48.8107,5.2833,11.5
Érize-la-Brûlée,FRA,48.8467,5.2753,10.0
Érize-la-Petite,FRA,48.9145,5.2374,12.0
Étalante,FRA,47.6291,4.7664,20.0
Amrumbank West,DEU,54.5,7.7999,301.32
BARD Offshore 1,DEU,54.36,5.98,400.0
Baltic 2,DEU,54.983,13.162,288.0
Borkum Riffgrund I,DEU,53.9667,6.55,312.0
Butendiek,DEU,55.019,7.774,288.0
Bürgerwindpark im Kirchspiel Medelby,DEU,54.7776,9.1334,82.23
Global Tech I,DEU,54.509,6.367,400.0
Gode Wind 1 - Teil 1,DEU,54.041,6.994,263.1
Meerwind SüdIOst,DEU,54.392,7.704,288.0
OWP Nordsee Ost,DEU,54.445,7.683,295.2
Offshore Windfarm Danysk,DEU,55.1416,7.1945,284.4
SWM Wind Havelland GmbH & Co. KG,DEU,52.3869,12.5636,171.0
Trianel Windpark Borkum,DEU,54.0416,6.4667,200.0
UW Bertikow,DEU,53.2641,14.048,340.0
Windpark Arneburg 2,DEU,52.7002,11.9387,31.5
Windpark Arneburg 2,DEU,52.7002,11.9387,117.0
Windpark Dahme,DEU,51.8686,13.5491,76.5
Windpark Druxberge,DEU,52.1651,11.2742,116.7
Windpark Fehmarn,DEU,54.4856,11.1097,143.0
Windpark Hakenstedt,DEU,52.1663,11.2847,82.7
Windpark Hüselitz,DEU,52.5174,11.7882,92.4
Windpark Klettwitz,DEU,51.5452,13.8652,89.1
Windpark Reußenköge,DEU,54.6409,9.0139,189.312
Windpark Riffgat,DEU,53.692,6.475,113.4
Windparks Biere und Borne,DEU,51.9605,11.6207,94.5
Altagowlan,IRL,54.1222,-8.1486,7.6
Ballincollig Hill,IRL,52.3096,-9.5892,13.3
Ballinlough/Ikerrin,IRL,52.8301,-8.0752,2.55
Ballywater,IRL,52.5387,-6.2396,42.0
Barranafaddock,IRL,52.179,-8.091,32.4
Bellacorick,IRL,54.1126,-9.5875,6.45
Bindoo,IRL,54.0108,-7.1142,48.0
Boggeragh,IRL,52.0396,-8.9154,57.0
Boggeragh 2,IRL,52.0396,-8.9154,66.7
Bruckana,IRL,52.7846,-7.6688,39.6
Castledockrell,IRL,52.5898,-6.6391,41.4
Cloghboola,IRL,52.3454,-9.4513,46.0
Coomacheo,IRL,52.0174,-9.1545,41.4
Crocane,IRL,51.844,-8.1557,1.6
Cuillalea,IRL,53.8485,-9.0712,3.4
Derrybrien,IRL,53.0937,-8.6095,60.0
Derrynadivva,IRL,53.9104,-9.3408,8.0
Garracummer,IRL,52.642,-8.1479,42.5
Gavagh Glebe,IRL,54.1603,-8.2221,26.0
Geevagh,IRL,54.1417,-8.2673,5.0
Glenough,IRL,52.6386,-8.0786,32.5
Kilgarvan,IRL,51.9342,-9.3269,45.0
Kill Hill,IRL,52.5394,-7.7745,36.8
Knockacummer 1,IRL,52.2788,-9.0988,87.0
Knocknagoum,IRL,52.3412,-9.5676,44.5
Largan Hill,IRL,53.9475,-8.5596,5.9
Lenanavea,IRL,53.9241,-9.3505,4.5
Lisheen,IRL,52.7589,-7.7167,54.0
Mace Upper,IRL,53.7707,-8.971,2.4
Meentycat,IRL,54.8702,-7.8562,72.0
Monaincha Bog (Gate 3),IRL,52.9348,-7.7054,32.55
Mount Lucas,IRL,53.2811,-7.2207,84.0
Mountain Lodge,IRL,53.9955,-7.119,34.5
Raheen Barr,IRL,53.9001,-9.3579,18.7
Raheenleagh Wind Farm,IRL,52.7973,-6.3164,36.5
Sliabh Bawn,IRL,53.7356,-8.0679,58.0
Taurbeg,IRL,52.2563,-9.134,25.3
Tullynamoyle,IRL,54.1217,-8.1455,22.0
Beabuorren,NLD,53.0417,5.5014,10.4
Burgervlotbrug,NLD,52.7533,4.6819,7.65
Culemborg,NLD,51.955,5.2278,6.0
De Bjirmen,NLD,53.2342,5.5114,6.0
Delfzijl Zuid,NLD,53.33,6.9181,78.2
EPZ,NLD,51.4388,3.7035,24.05
Ecopark Waalwijk,NLD,51.6825,5.0708,7.5
Egmond aan Zee,NLD,52.6061,4.4188,108.0
Etten-Leur,NLD,51.5866,4.776,6.5
Flushing outer,NLD,51.4425,3.5736,1.58
Gemini,NLD,54.036,5.963,600.0
Halsteren,NLD,51.5283,4.2678,6.8
Haringvliet,NLD,51.8412,4.0606,3.6
Hemweg,NLD,52.4053,4.8466,5.28
Herkingen,NLD,51.71,4.0875,8.25
Hiddum-Houw,NLD,53.083,5.3909,5.23
Irene Vorrink,NLD,52.5083,5.475,16.8
Jacobahaven,NLD,51.5975,3.6848,9.0
Kats II,NLD,51.5675,3.8847,9.0
Kneeshoek,NLD,52.8608,4.8361,4.8
Koegorspolder,NLD,51.3358,3.8278,44.0
Leeuwarden,NLD,53.2014,5.8086,1.8
Lopik,NLD,51.9725,4.9486,6.0
Luchterduinen,NLD,52.405,4.1619,129.0
Marrum,NLD,53.3228,5.802,5.25
Neeltje Jans,NLD,51.632,3.699,12.0
Nerefco,NLD,51.9539,4.0954,22.5
Northeast Binnendijks,NLD,52.588,4.223,217.5
Outside the Northeast,NLD,38.0211,-87.5172,144.0
Pallandt,NLD,51.7044,4.2343,14.0
Princess Amalia,NLD,52.588,4.223,120.0
Rachel Carson (Eemmeerdijk),NLD,52.33,5.5417,18.0
Rozenburg Peninsula,NLD,51.9042,4.2486,15.0
Test Site Lelystad,NLD,52.5083,5.475,8.3
Ulketocht,NLD,52.8383,4.8917,6.0
Velsen,NLD,52.46,4.65,9.0
Westereems,NLD,53.4375,6.8613,213.3
Weststad Oosterhout,NLD,51.645,4.8597,15.0
Willem Anna Polder,NLD,51.6392,4.1292,9.0
flushing,NLD,51.4425,3.5736,2.3
Bessakerfjellet,NOR,64.2221,10.3721,58.0
Fakken,NOR,70.1023,20.1077,59.0
Grov,NOR,61.8243,8.9741,45.0
Havoygavlen,NOR,71.0109,24.5824,40.0
Hitra,NOR,63.526,8.7793,55.0
Hog Jare,NOR,58.6464,5.7483,74.0
Hundhammerfjelle,NOR,64.7554,11.3764,46.0
Kjollefjord,NOR,70.9217,27.2541,50.0
Nygardsfjellet,NOR,68.5078,17.8764,36.0
Smola,NOR,63.4106,7.9099,160.0
