model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year
lagged_return_reversal,27020,386,0.0012208498661058225,0.023475139405094422,0.5090303478904515,0.01799312402429474,0.01854206218862825,1.6657052860512185,1.9329263986033698,0.9016984187928984,-0.0331017098405722,0.08720704272728909,-0.3795761076784446,-0.3924662650985131,0.1796754762087991,-0.15211023807691512,0.8595484826054774,10.0,84.0
ridge_wind_weather_only,27020,386,0.0011196126427229526,0.022564374342355822,0.5066247224278312,0.015538248214640058,0.013071824080778529,2.162773321517845,1.666514489496552,0.7774188821469157,0.01085752566084593,0.06861454485219565,0.15823941824921237,-0.24158699574535047,0.252464344108173,0.049892915536744395,0.5247964470762397,10.0,84.0
ridge_finance_only,27020,386,0.0011196982785556732,0.022563402253937777,0.5049222797927461,0.011677952735060072,0.011547582709146345,1.086056781598956,1.2664009371895835,0.5907683414364752,-0.01892627494000973,0.09094339658609901,-0.20811049125586178,-0.35963946228611093,0.13531497468043144,-0.08697073960528282,0.5758697261287935,10.0,84.0
rolling_momentum_21d,27020,386,0.009733427937021024,0.06960362746412704,0.49370836417468544,0.008035651344229275,0.002431819413383398,0.7255619390978028,0.23277165207510742,0.10858656116838712,0.007902160501199814,0.09325598050563419,0.0847362330904064,-0.24581497653977327,0.10388373754122769,0.03631230896979915,0.17505551443375272,10.0,84.0
ridge_price_only,27020,386,0.0011211060770130192,0.022570919173868033,0.5028867505551443,-0.012542587857664048,-0.003652074901324426,-1.685016660139574,-0.4839894394545394,-0.2257781323613501,-0.05459561204598463,0.0662819928665146,-0.8236869424842855,-0.40771988938635495,-0.08902269344940558,-0.2508798363065484,0.4193190229459659,10.0,84.0
rolling_mean_5d,27020,386,0.0011860302143162373,0.023386802445519595,0.49293116210214655,-0.012863273939626335,-0.006816162806456609,-1.1946390707660761,-0.6950474582937627,-0.32423541557627117,-0.03384728424375028,0.08485338641745349,-0.3988913780910484,-0.26623286283128267,-0.007322044262947719,-0.15553632997723343,0.3839748334566987,10.0,84.0
elasticnet_full,27020,386,0.0011224591159745788,0.02260651370153711,0.4891931902294597,-0.018193072395399478,-0.013795813868716589,-1.6289519182028491,-1.4215800397646547,-0.6631584497834588,-0.09711053068774533,0.08744012379448826,-1.1105946157622735,-0.7600382945539411,-0.3091745814936868,-0.44624601006511544,0.35510732790525534,10.0,84.0
ridge_full,27020,386,0.00112786893804971,0.022686017362325187,0.48645447816432275,-0.030616130681017754,-0.030662154727739515,-3.119684556797419,-3.730588266133099,-1.740296755825833,-0.1231154442103027,0.07678843764272107,-1.6033070601479158,-0.72337655115844,-0.4457447793473434,-0.5657447793473434,0.310880829015544,10.0,84.0
country_sector_dummy,27020,386,0.001126283321205899,0.022659943714260816,0.48019985196151,-0.04447967425139757,-0.04639042830024844,-4.509071262216121,-4.960095497536833,-2.3138544077117142,-0.16613786559688482,0.0825884478543785,-2.0116356453365274,-0.9417154043667242,-0.7610859061952088,-0.7634430490523516,0.00610658771280533,10.0,84.0
ridge_country_features_only,27020,386,0.001126283321205899,0.022659943714260816,0.48019985196151,-0.04447967425139757,-0.04639042830024844,-4.509071262216121,-4.960095497536833,-2.3138544077117142,-0.16613786559688482,0.0825884478543785,-2.0116356453365274,-0.9417154043667242,-0.7610859061952088,-0.7634430490523516,0.00610658771280533,10.0,84.0
zero_score,27020,386,0.001120182952363385,0.02256900356292989,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,84.0
