target_time,n_names,gross_return,net_return,turnover,gross_exposure,net_exposure,max_group_net_exposure,long_count,short_count,model,fold
2023-02-14 23:00:00+00:00,70,0.005783408625923352,0.005591919264221224,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-15 23:00:00+00:00,70,-0.0008151289128964005,-0.0009853416788538473,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-16 23:00:00+00:00,70,-0.007602885963637535,-0.007794375325339663,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-17 23:00:00+00:00,70,-0.010484019691539366,-0.010675509053241494,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-20 23:00:00+00:00,70,-0.010899841422305434,-0.011091330784007562,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-21 23:00:00+00:00,70,-0.0006378996427582562,-0.0008293890044603838,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-22 23:00:00+00:00,70,-0.004129302139274209,-0.004320791500976337,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-23 23:00:00+00:00,70,-0.0027203484224849243,-0.0029118377841870517,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-24 23:00:00+00:00,70,-0.005000743447035222,-0.005277339191716073,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-27 23:00:00+00:00,70,-0.0017224120535294257,-0.0018926248194868725,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-02-28 23:00:00+00:00,70,0.0012575655050971572,0.001172459122118434,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-01 23:00:00+00:00,70,0.0013111866966805032,0.0011196973349783756,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-02 23:00:00+00:00,70,-0.0011375598287725695,-0.0013077725947300163,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-03 23:00:00+00:00,70,0.0022916216834401298,0.002121408917482683,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-06 23:00:00+00:00,70,0.0014892362937330645,0.0012977469320309368,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-07 23:00:00+00:00,70,0.0021175270699862717,0.0020111440912628674,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-08 23:00:00+00:00,70,-0.0022178320740391323,-0.0024944278187199833,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-09 23:00:00+00:00,70,-0.0015078142405133223,-0.0015929206234920456,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-10 23:00:00+00:00,70,-0.005208818037442412,-0.0054003073991445395,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-13 23:00:00+00:00,70,-0.009001391154783406,-0.009192880516485534,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-14 23:00:00+00:00,70,0.0013659910033466019,0.001195778237389155,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
