model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year
lagged_return_reversal,27020,386,0.0012208498661058225,0.023475139405094422,0.5090303478904515,0.01799312402429474,0.01854206218862825,1.6657052860512185,1.9329263986033698,0.9016984187928984,0.013825939168313935,0.06184537857412677,0.22355654516274662,-0.24088790512724856,0.4209448298864112,0.0635334823686807,0.9259361334656231,0.0,10.0,84.0
ridge_wind_weather_only,27020,386,0.0011196126427229526,0.022564374342355822,0.5066247224278312,0.015538248214640058,0.013071824080778529,2.162773321517845,1.666514489496552,0.7774188821469157,-0.013198641003825791,0.056871197467545695,-0.23207953395667058,-0.22013733926579604,0.07915052049356444,-0.06065089794615185,0.36217984051739976,0.0,10.0,84.0
ridge_finance_only,27020,386,0.0011196982785556732,0.022563402253937777,0.5049222797927461,0.011677952735060072,0.011547582709146345,1.086056781598956,1.2664009371895835,0.5907683414364752,0.026017934004970066,0.06074605491837491,0.4283065631164135,-0.17221389533034082,0.3560337788039936,0.11955860149902911,0.6126299930180429,0.0,10.0,84.0
rolling_momentum_21d,27020,386,0.009733427937021024,0.06960362746412704,0.49370836417468544,0.008035651344229275,0.002431819413383398,0.7255619390978028,0.23277165207510742,0.10858656116838712,-0.015479755109302395,0.0661092625685017,-0.23415410349287194,-0.2989126880113419,0.004271094935925979,-0.07113316038322291,0.19534781170763976,0.0,10.0,84.0
ridge_price_only,27020,386,0.0011211060770130192,0.022570919173868033,0.5028867505551443,-0.012542587857664048,-0.003652074901324426,-1.685016660139574,-0.4839894394545394,-0.2257781323613501,-0.03226839589979951,0.05811796652067138,-0.5552223835691549,-0.23223671596023926,-0.041812877004600506,-0.14828096211098346,0.27582405467974863,0.0,10.0,84.0
rolling_mean_5d,27020,386,0.0011860302143162373,0.023386802445519595,0.49293116210214655,-0.012863273939626335,-0.006816162806456609,-1.1946390707660761,-0.6950474582937627,-0.32423541557627117,-0.13729566817361022,0.06322468627206596,-2.171551592724477,-0.6510808358552195,-0.4634807527876486,-0.6309062847025422,0.4337449013339213,0.0,10.0,84.0
elasticnet_full,27020,386,0.0011224591159745788,0.02260651370153711,0.4891931902294597,-0.018193072395399478,-0.013795813868716589,-1.6289519182028491,-1.4215800397646547,-0.6631584497834588,0.04203104849229958,0.061555607307723297,0.6828142931346889,-0.12210854869026044,0.4078873560656786,0.1931426752146147,0.5563333700804762,0.0,10.0,84.0
ridge_full,27020,386,0.00112786893804971,0.022686017362325187,0.48645447816432275,-0.030616130681017754,-0.030662154727739515,-3.119684556797419,-3.730588266133099,-1.740296755825833,0.032956339637085795,0.05327781028725035,0.6185753404541179,-0.130615717635126,0.3175344259615021,0.15144222737994187,0.43029066990041526,0.0,10.0,84.0
country_sector_dummy,27020,386,0.001126283321205899,0.022659943714260816,0.48019985196151,-0.04447967425139757,-0.04639042830024844,-4.509071262216121,-4.960095497536833,-2.3138544077117142,-0.03826880017474673,0.05994232334039999,-0.638427041898696,-0.2406743842573133,-0.13821595054971003,-0.17585424842205047,0.09750854371072648,0.0,10.0,84.0
ridge_country_features_only,27020,386,0.001126283321205899,0.022659943714260816,0.48019985196151,-0.04447967425139757,-0.04639042830024844,-4.509071262216121,-4.960095497536833,-2.3138544077117142,-0.03826880017474673,0.05994232334039999,-0.638427041898696,-0.2406743842573133,-0.13821595054971003,-0.17585424842205047,0.09750854371072648,0.0,10.0,84.0
zero_score,27020,386,0.001120182952363385,0.02256900356292989,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,84.0
