model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_momentum_21d,0.029654396102799917,0.027016989164278304,1.401852258617118,1.0050224175698255,0.8010861333221816,0.3407885950854701
lagged_return_reversal,0.017660165203261188,0.016174067057061686,0.8802049971797691,-1.3709518507548382,-0.8616859329859173,1.5179453792735043
rolling_mean_5d,0.009600964963754675,-0.0009196644611737607,0.5008775398978972,0.2516016842399031,0.2898185572055174,0.7109775641025641
ridge_wind_weather_only,0.008041400105365167,0.015066914444102068,0.3940725211587866,0.3142957212647729,0.19132844209391442,1.0201822916666667
ridge_price_only,-0.005422757557980433,-0.020254793292835332,-0.19738454073389486,-1.457862032218201,-0.49683115241024955,0.8037526709401709
ridge_finance_only,-0.008277571240202118,0.0036438408569719354,-0.5282594807609273,-2.013698117027662,-1.3234937894413044,0.8704159989316239
hist_gradient_boosting_full,-0.01023462046756277,0.01372229876890483,-0.5072309076093916,-0.08334488444710601,0.08044680883996469,0.9652076655982906
elasticnet_full,-0.039444601896171126,-0.047018358362549466,-2.1408674465668818,-2.759099742847481,-1.5164729850027927,0.6161424946581197
ridge_full,-0.0427866781080354,-0.041744922229012736,-2.6531127467375204,-2.902947757361089,-1.5551460442071208,0.6414730235042735
country_sector_dummy,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-3.086242494973835,-1.489598341571818,0.04336271367521368
ridge_country_features_only,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-3.086242494973835,-1.489598341571818,0.04336271367521368
zero_score,,,,,0.0,0.0
