regime,model,n_days,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,directional_accuracy,gross_pnl,net_pnl,annualized_return,annualized_volatility,sharpe,max_drawdown,mean_turnover,max_abs_net_exposure,max_group_net_exposure
all_oos,rolling_momentum_21d,386,0.014193881999453595,0.01115094237305893,1.3187835094943017,1.1055145141983516,0.4902294596595115,0.5476050940588864,0.5130336654874578,0.06698677912064216,0.0927013308485425,0.7226086023520705,-0.27709182363999285,0.08956328645447816,0.0,
all_oos,ridge_wind_weather_only,386,0.011364923376237516,0.005526096393240744,1.5402735421182336,0.7114355946985672,0.5043671354552184,0.3167345186012037,0.21516309002977524,0.028093833516841117,0.06394001617613704,0.43937795447924805,-0.19924142055456762,0.2631384159881569,0.0,
all_oos,lagged_return_reversal,386,0.012164382276486013,0.005506105125264501,1.161876331745219,0.5580851576049245,0.5037749814951887,0.0576760598798253,-0.14403822583446046,-0.018807063684084992,0.08875385305191176,-0.2119013770938465,-0.6632901402153419,0.5225758697261288,0.0,
2023_h1,lagged_return_reversal,128,0.050042466462166785,0.04510991428229736,3.1907419638961647,2.925158781396423,0.5140625,0.28373072671279154,0.21415929814136295,0.08432522364316165,0.07737096462642123,1.0898820255158825,-0.11177974590233938,0.5435267857142857,0.0,
2023_h1,rolling_momentum_21d,128,-0.020940361675638383,-0.0033795603290410255,-1.131246731906126,-0.19898594641998565,0.4850446428571429,-0.13185880800825342,-0.1435016651511105,-0.05650378065324976,0.0847398544439719,-0.6667910987575368,-0.2761974347656475,0.09095982142857141,0.0,
2023_h1,ridge_wind_weather_only,128,-0.0006280090212359641,-0.010970775800959433,-0.05965575569607449,-1.0041663384937705,0.49910714285714286,0.1292919060718052,0.09150619178609092,0.036030563015773294,0.06087999788235283,0.5918292422644353,-0.10689978686682335,0.29520089285714285,0.0,
2023_h2,rolling_momentum_21d,128,0.05317556191854059,0.05557435117745802,2.8052470806931717,3.156171681830528,0.5016741071428572,0.48055575060488154,0.4701986077477387,0.1851407018006721,0.08698119773397706,2.1285140538867457,-0.19358775033495598,0.08091517857142855,0.0,
2023_h2,ridge_wind_weather_only,128,0.013050339322149015,0.008595275345668126,0.9080721580099973,0.6020026610799437,0.4995535714285715,0.06409388316994935,0.0374510260270922,0.014746341498167554,0.06502386846239813,0.22678351575921754,-0.15164422213000048,0.20814732142857142,0.0,
2023_h2,lagged_return_reversal,128,-0.042907156729535816,-0.04616389096456264,-2.2829432135601815,-2.7764869689839067,0.4933035714285714,-0.4072614351321182,-0.47054714941783243,-0.1852779400832715,0.09736582906645327,-1.9029051758683968,-0.5246509672979346,0.4944196428571428,0.0,
2024_h2,ridge_wind_weather_only,130,0.021513862651621616,0.01874720973898626,1.636153540548848,1.270160481057056,0.5142857142857143,0.12334872935944927,0.08620587221659214,0.0334213535362788,0.06573811256203542,0.5084014772212985,-0.1992414205545676,0.28571428571428575,0.0,
2024_h2,lagged_return_reversal,130,0.029093322407283368,0.017386658412938863,1.5459059154106058,0.9561775152410821,0.5039560439560439,0.18120676829915192,0.11234962544200902,0.04355708555597888,0.08564218640613751,0.5085938062045714,-0.17578359420770628,0.5296703296703297,0.0,
2024_h2,rolling_momentum_21d,130,0.010405637082289273,-0.018282072866127912,0.5772559245905889,-1.0589734520498428,0.48406593406593407,0.19890815146225815,0.1863367228908296,0.07224131410536778,0.10210432003049019,0.7075245600166108,-0.19568859947609624,0.09670329670329669,0.0,
