model,n_days,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,directional_accuracy,gross_pnl,net_pnl,annualized_return,annualized_volatility,sharpe,max_drawdown,mean_turnover,max_abs_net_exposure,max_group_net_exposure
rolling_momentum_21d,386,0.014193881999453595,0.01115094237305893,1.3187835094943017,1.1055145141983516,0.4902294596595115,0.5476050940588864,0.5130336654874578,0.06698677912064216,0.0927013308485425,0.7226086023520705,-0.27709182363999285,0.08956328645447816,0.0,
ridge_wind_weather_only,386,0.011364923376237516,0.005526096393240744,1.5402735421182336,0.7114355946985672,0.5043671354552184,0.3167345186012037,0.21516309002977524,0.028093833516841117,0.06394001617613704,0.43937795447924805,-0.19924142055456762,0.2631384159881569,0.0,
lagged_return_reversal,386,0.012164382276486013,0.005506105125264501,1.161876331745219,0.5580851576049245,0.5037749814951887,0.0576760598798253,-0.14403822583446046,-0.018807063684084992,0.08875385305191176,-0.2119013770938465,-0.6632901402153419,0.5225758697261288,0.0,
