horizon_days,model,n_validation_folds,mean_rankic,min_rankic,positive_rankic_folds,mean_rankic_t,net_pnl_sum,positive_net_pnl_folds,sharpe_mean,turnover_mean,selected
5,lagged_return_reversal,3,0.034593288775787,0.005237326232047331,3,2.3666432959427124,0.6532487471979201,2,0.34027466509637533,0.5397212439580753,True
5,ridge_finance_only,3,0.014188872111473821,-0.005336221418579779,2,1.0690109720114556,-0.16561875969405704,2,0.47350470297799374,0.2766022384665438,True
5,rolling_momentum_21d,3,0.013658305567668762,-0.0033795603290410255,2,0.8870393234921066,0.5228096675546507,2,0.38075382498273286,0.08902053091794944,True
5,ridge_wind_weather_only,3,0.011954910157631364,-0.0037699079626016003,2,1.2249288351495657,0.3034977629370363,1,0.07033297644927694,0.4135063734737437,True
5,ridge_price_only,3,-0.007695073889012486,-0.050730175718584854,1,-0.5936089778706602,-0.6230347601324737,1,-0.9461379208318091,0.3606501666316515,False
5,elasticnet_full,3,-0.012401791921346557,-0.05397114290568468,1,-0.5820321612417975,-0.8059986743671047,1,-0.4594104996256975,0.07731903769810873,False
5,rolling_mean_5d,3,-0.030631900814254844,-0.05614329623252503,0,-2.0525238274158615,-0.6347715135356083,1,-0.8100541566621207,0.25336359607225656,False
5,ridge_full,3,-0.03205686760754623,-0.06465947817417349,0,-2.498188032511439,-0.8915719598084006,1,-0.6629694490730956,0.08630394442122262,False
5,country_sector_dummy,3,-0.04857309821450232,-0.0730076295149509,0,-3.1105605921887083,-1.6947180267622053,0,-1.5541184345549686,0.006525855443896361,False
5,ridge_country_features_only,3,-0.04857309821450232,-0.0730076295149509,0,-3.1105605921887083,-1.6947180267622053,0,-1.5541184345549686,0.006525855443896361,False
5,zero_score,3,,,0,,0.0,0,,0.0,False
