target_time,n_names,gross_return,net_return,turnover,gross_exposure,net_exposure,max_group_net_exposure,long_count,short_count,portfolio_mode,selection_buffer,model,fold
2023-01-02 23:00:00+00:00,70,0.003518865366473773,0.002518865366473773,1.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-03 23:00:00+00:00,70,0.005585759990874161,0.005585759990874161,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-04 23:00:00+00:00,70,0.01263722629686536,0.01263722629686536,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-05 23:00:00+00:00,70,0.00680793279597795,0.00680793279597795,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-06 23:00:00+00:00,70,-0.005929332010191816,-0.005929332010191816,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-09 23:00:00+00:00,70,-0.0031343721497220844,-0.0031343721497220844,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-10 23:00:00+00:00,70,0.00980323464452973,0.00980323464452973,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-11 23:00:00+00:00,70,0.015617756870066552,0.015617756870066552,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-12 23:00:00+00:00,70,0.008298810870875566,0.008298810870875566,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-13 23:00:00+00:00,70,0.00788206919215926,0.00788206919215926,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-16 23:00:00+00:00,70,-0.001021714602971845,-0.001021714602971845,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-17 23:00:00+00:00,70,0.0037285795432445592,0.0037285795432445592,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-18 23:00:00+00:00,70,0.00791865950187674,0.00791865950187674,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
