model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_momentum_21d,0.012058032706807513,0.019376343880943607,0.8879032627405623,0.715667596123068,0.34911784430341647,0.09702810210622709
ridge_wind_weather_only,0.010786566608108006,0.013902961404645439,1.0214763558278814,-0.18056540544155938,-0.06389542678261648,0.5050194597069596
rolling_mean_5d,0.007309515745623978,0.003179787913724974,0.4455174386731298,0.4094166386179477,0.18776584440651578,0.26374341804029305
ridge_finance_only,0.007304419135453384,0.001316850745078432,0.4919480611658873,-0.5946886095867845,-0.3382332687758271,0.3624842605311355
lagged_return_reversal,0.0033664613369543453,0.0040063256613271135,0.14984727353493957,-0.7330336401622072,-0.41029783192420394,0.5743346497252747
ridge_price_only,-0.0038141399379524633,-0.0133463176391763,-0.28719245065018717,-1.430515019766202,-0.530019322635825,0.38451379349816855
elasticnet_full,-0.0165999652112825,-0.018877508499678213,-1.0804235744917816,-0.9690924915881479,-0.5540372266724006,0.16781707875457874
ridge_full,-0.027633578786472907,-0.030023596521649345,-2.251303648231734,-1.5548654605388197,-0.6355528529092571,0.12828954899267397
country_sector_dummy,-0.04183091690457922,-0.040896414408950595,-3.013272633307191,-2.006265720229522,-0.9123075246627946,0.0064703525641025645
ridge_country_features_only,-0.04183091690457922,-0.040896414408950595,-3.013272633307191,-2.006265720229522,-0.9123075246627946,0.0064703525641025645
zero_score,,,,,0.0,0.0
