model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer
lagged_return_reversal,27020,386,0.001220849835365552,0.023475139080870934,0.5090303478904515,0.017993106839515716,0.018549405187826412,1.6657036218828174,1.9337327799273498,0.902074590780255,-0.011458878985015356,0.08579371510391276,-0.13356315169632693,-0.38796829000195066,0.17320086561647705,-0.05265627724066581,0.5851221317542561,,10.0,84.0,buffered,0.1
ridge_wind_weather_only,27020,386,0.001119612599417788,0.02256437408077031,0.5066247224278312,0.015538217068698797,0.013069642233815274,2.1627689633290132,1.6662404116524998,0.7772910264982026,0.03827015742471759,0.06699252383941141,0.5712601232408477,-0.1840772931911459,0.30321762816596415,0.1758604853088213,0.329940784603997,,10.0,84.0,buffered,0.1
ridge_finance_only,27020,386,0.0011196980846261949,0.02256339804266927,0.5049222797927461,0.011676473547158162,0.011562495419057425,1.085943167635422,1.2678321026812458,0.5914359714413193,-0.02323744504435813,0.08864431660227247,-0.2621425257145298,-0.3980771433800293,0.0332898358675924,-0.10678159270383616,0.3628793486306439,,10.0,84.0,buffered,0.1
rolling_momentum_21d,27020,386,0.0097334278765305,0.06960362660358077,0.49370836417468544,0.00803565159258684,0.002426833426273534,0.7255620007434889,0.23229007837724733,0.10836190996479943,0.02056688526376023,0.0956930126308346,0.21492567428202258,-0.2538120613265578,0.13272402037870765,0.094509734664422,0.09900074019245002,,10.0,84.0,buffered,0.1
ridge_price_only,27020,386,0.0011211060330559499,0.022570918885467518,0.5028867505551443,-0.012542566904189258,-0.003655347671769311,-1.6850136975716523,-0.48441999019322174,-0.2259789816645416,-0.04330589623950276,0.06479038059402614,-0.6684000902982147,-0.3555140555545377,-0.1150009041481913,-0.19900090414819127,0.21761658031088082,,10.0,84.0,buffered,0.1
rolling_mean_5d,27020,386,0.0011860301671481972,0.023386801768100898,0.49293116210214655,-0.01286326756338188,-0.0068216020651219135,-1.1946385318757036,-0.6956080607153359,-0.32449693319922324,-0.0168958171584507,0.0855002037826046,-0.1976114255985929,-0.2684819442772466,0.02585969734330991,-0.07764030265669013,0.26813471502590674,,10.0,84.0,buffered,0.1
elasticnet_full,27020,386,0.0011224590729197168,0.0226065134343621,0.4891931902294597,-0.018193086576182186,-0.013793910128183727,-1.6289532830827005,-1.4213775290001167,-0.6630639797424349,-0.09207372140495261,0.08600432772503487,-1.0705707938247275,-0.7403998472862504,-0.35831495788466333,-0.4231006721703775,0.1678386380458919,,10.0,84.0,buffered,0.1
ridge_full,27020,386,0.0011278686562844868,0.02268601427243904,0.4865284974093264,-0.030614810562652844,-0.030659616613262778,-3.1194812956429523,-3.7308073529848715,-1.740398958510821,-0.12586941362943702,0.073671578510415,-1.7085206557864479,-0.7453127669277545,-0.5283999245352702,-0.5783999245352701,0.12953367875647667,,10.0,84.0,buffered,0.1
country_sector_dummy,27020,386,0.0011262832768521762,0.022659943530354474,0.48019985196151,-0.044479676165672645,-0.04639201500056437,-4.5090714203881435,-4.960299736701846,-2.313949684041056,-0.14861384937879252,0.08816839710010821,-1.6855682338202576,-0.8385573119746842,-0.6812731650025465,-0.6829160221454037,0.0042561065877128055,,10.0,84.0,buffered,0.1
ridge_country_features_only,27020,386,0.0011262832768521762,0.022659943530354474,0.48019985196151,-0.044479676165672645,-0.04639201500056437,-4.5090714203881435,-4.960299736701846,-2.313949684041056,-0.14861384937879252,0.08816839710010821,-1.6855682338202576,-0.8385573119746842,-0.6812731650025465,-0.6829160221454037,0.0042561065877128055,,10.0,84.0,buffered,0.1
zero_score,27020,386,0.0011201829081172506,0.022569003194966953,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,84.0,buffered,0.1
