model,target_time,n_names,ic,rankic,directional_accuracy,gross_return,net_return,turnover,gross_exposure,net_exposure,max_group_net_exposure
ridge_wind_weather_only,2023-01-02 23:00:00+00:00,70,0.11281037402142251,0.19621181143300265,0.5714285714285714,0.007543318514129964,0.006543318514129964,1.0,1.0,0.0,
ridge_wind_weather_only,2023-01-03 23:00:00+00:00,70,0.0874271055859009,0.03206075350212462,0.5,0.008838297591450682,0.008838297591450682,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-04 23:00:00+00:00,70,-0.07403468525788542,-0.07635244520595527,0.44285714285714284,0.0033770984115681114,0.0033770984115681114,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-05 23:00:00+00:00,70,-0.030491102175332033,-0.020729430473314003,0.4714285714285714,0.0019916514275753394,0.0019916514275753394,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-06 23:00:00+00:00,70,-0.005656430946865517,0.0788790239894063,0.5,0.0021321489693173104,0.002060720397888739,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-01-09 23:00:00+00:00,70,0.14998867331845886,0.2774068659739057,0.6,0.004150806547231911,0.004150806547231911,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-10 23:00:00+00:00,70,0.08796357699610664,0.13773682519479924,0.5142857142857142,0.0019533737344381574,0.0019533737344381574,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-11 23:00:00+00:00,70,0.14307223949383027,0.14912557046868827,0.5714285714285714,0.003354653723264332,0.003354653723264332,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-12 23:00:00+00:00,70,0.11032101410206685,0.03137168656118343,0.5142857142857142,0.0017057713949409179,0.0017057713949409179,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-13 23:00:00+00:00,70,0.09280740773626589,0.09993384718483142,0.5571428571428572,0.005480929023117374,0.005409500451688803,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-01-16 23:00:00+00:00,70,-0.014156565450549195,0.015523282719996489,0.5428571428571428,0.00018555289643931456,0.00011412432501074314,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-01-17 23:00:00+00:00,70,0.051610572859717097,0.06345380126172459,0.5,0.0020181460252492035,0.0020181460252492035,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-18 23:00:00+00:00,70,0.05374192879565307,0.07034225022107939,0.5285714285714286,0.0003059469558907393,0.0003059469558907393,0.0,1.0,0.0,
ridge_wind_weather_only,2023-01-19 23:00:00+00:00,70,-0.037884826809675844,-0.05927889766930145,0.4,0.0011720622779820035,0.0008863479922677179,0.2857142857142857,1.0,0.0,
ridge_wind_weather_only,2023-01-20 23:00:00+00:00,70,-0.16910565141064077,-0.027734944372882722,0.5,-0.0059831162246500565,-0.006125973367507199,0.14285714285714285,1.0,0.0,
ridge_wind_weather_only,2023-01-23 23:00:00+00:00,70,-0.17419103582196765,-0.1432876422190477,0.38571428571428573,-0.008551146033312971,-0.008622574604741542,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-01-24 23:00:00+00:00,70,-0.18180567475562154,-0.10267097420023667,0.5428571428571428,-0.006272656363821696,-0.006344084935250267,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-01-25 23:00:00+00:00,70,-0.13154377811196657,-0.18189453166011357,0.4714285714285714,-0.0034025258337738963,-0.003688240119488182,0.2857142857142857,1.0,0.0,
ridge_wind_weather_only,2023-01-26 23:00:00+00:00,70,-0.027895766319115493,-0.11936170676970095,0.4857142857142857,-0.0019551091866938783,-0.0020265377581224495,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-01-27 23:00:00+00:00,70,-0.0034445956213736235,-0.03745844453949724,0.4714285714285714,0.00033242128595347504,0.00011813557166776077,0.21428571428571427,1.0,0.0,
ridge_wind_weather_only,2023-01-30 23:00:00+00:00,70,0.027643879443522545,0.013953605554059011,0.4714285714285714,-0.0007089241709028428,-0.0007803527423314142,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-01-31 23:00:00+00:00,70,0.07930917412510581,0.07263914002421666,0.44285714285714284,0.003184924460280953,0.003184924460280953,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-01 23:00:00+00:00,70,0.10702904858223611,0.18124374621589134,0.5571428571428572,0.00034904723829314645,-0.0004366670474211393,0.7857142857142857,1.0,0.0,
ridge_wind_weather_only,2023-02-02 23:00:00+00:00,70,0.10566542527371868,0.139210662818479,0.45714285714285713,0.010711873650882192,0.01014044507945362,0.5714285714285714,1.0,0.0,
ridge_wind_weather_only,2023-02-03 23:00:00+00:00,70,0.13256511990272732,0.20397095211008667,0.45714285714285713,0.009330008592154616,0.00847286573501176,0.8571428571428571,1.0,0.0,
ridge_wind_weather_only,2023-02-06 23:00:00+00:00,70,0.06628053085113872,0.07103193856215409,0.5571428571428572,0.003897998302524728,0.0034694268739532998,0.42857142857142855,1.0,0.0,
ridge_wind_weather_only,2023-02-07 23:00:00+00:00,70,0.02569180295224572,0.1475751698515706,0.4714285714285714,0.0029819840907947463,0.0029819840907947463,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-08 23:00:00+00:00,70,0.011617147087318659,-0.017820036722673443,0.4714285714285714,-0.004638545232076872,-0.004709973803505443,0.07142857142857142,1.0,0.0,
ridge_wind_weather_only,2023-02-09 23:00:00+00:00,70,-0.023431341086488904,-0.12835785849865533,0.4857142857142857,-0.008872906928910315,-0.008872906928910315,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-10 23:00:00+00:00,70,0.08386900037930112,0.033534591125804376,0.5857142857142857,-0.0008224698350596433,-0.0008224698350596433,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-13 23:00:00+00:00,70,0.05765360831981288,0.006967232402849768,0.4714285714285714,0.0031841101894415354,0.0031841101894415354,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-14 23:00:00+00:00,70,0.12551318088826882,0.2794932075450887,0.5428571428571428,0.007857957098195999,0.007857957098195999,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-15 23:00:00+00:00,70,-0.008340975147239905,0.029802145195706283,0.4857142857142857,0.001589802689370086,0.001589802689370086,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-16 23:00:00+00:00,70,-0.04011453830126267,0.05443628833435367,0.45714285714285713,-0.0007443359175793745,-0.0007443359175793745,0.0,1.0,0.0,
ridge_wind_weather_only,2023-02-17 23:00:00+00:00,70,-0.04804500299801518,-0.11557183859452444,0.5285714285714286,-0.004095392602301067,-0.004523964030872496,0.42857142857142855,1.0,0.0,
ridge_wind_weather_only,2023-02-20 23:00:00+00:00,70,0.12054100633732862,0.14414897589522416,0.5142857142857142,0.0029313801778304174,0.0025742373206875603,0.3571428571428571,1.0,0.0,
ridge_wind_weather_only,2023-02-21 23:00:00+00:00,70,0.07756775345941368,0.08573141190209921,0.5714285714285714,0.005802929181180003,0.005660072038322861,0.14285714285714285,1.0,0.0,
ridge_wind_weather_only,2023-02-22 23:00:00+00:00,70,0.1355555900762449,-0.050110479205111795,0.42857142857142855,0.0008519611049626355,0.0007091039621054927,0.14285714285714285,1.0,0.0,
ridge_wind_weather_only,2023-02-23 23:00:00+00:00,70,0.11351882288770611,-0.3184829119533441,0.44285714285714284,-0.006487765005485707,-0.006630622148342849,0.14285714285714285,1.0,0.0,
ridge_wind_weather_only,2023-02-24 23:00:00+00:00,70,0.07207774590033529,0.013226257116398873,0.5285714285714286,-0.004050729330790742,-0.004265015045076457,0.21428571428571427,1.0,0.0,
ridge_wind_weather_only,2023-02-27 23:00:00+00:00,70,0.08948418703431806,0.14545054678366864,0.6142857142857143,0.0012330028975113855,0.0009472886117970999,0.2857142857142857,1.0,0.0,
ridge_wind_weather_only,2023-02-28 23:00:00+00:00,70,0.13227682318938025,0.1554611581756753,0.5714285714285714,0.006130962865129942,0.005273820007987085,0.8571428571428571,1.0,0.0,
