model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean,horizon_days
rolling_momentum_21d,0.017829546020626474,0.015176444327699656,0.9656616437272229,-0.36568550388719107,-0.062358936512501295,0.3431557158119658,1
ridge_price_only,-0.003423714737797706,-0.009784891557493078,-0.2327847343963396,-2.858434155691587,-0.5799855546029707,0.955488782051282,1
elasticnet_full,-0.00409017590732244,-0.004568755020448405,-0.24928638975520068,-2.796310781254656,-0.7673560609315995,1.2404580662393163,1
lagged_return_reversal,-0.006676260018132735,-0.006393590244281544,-0.3002021438895331,-3.368168968805012,-0.8210841606475386,1.5172876602564103,1
rolling_mean_5d,-0.007602426253690824,-0.020618594923763476,-0.39307406379842064,-1.6089093504400893,-0.35531076671258544,0.7154947916666666,1
ridge_wind_weather_only,-0.008766696134686837,-0.002047244150939979,-0.5140773267919906,-3.165955001516998,-0.6267037008706899,1.2116085737179485,1
ridge_finance_only,-0.018422628001809976,0.002858931089651129,-1.0269024389502641,-2.585924049405334,-0.687356533647502,1.0798878205128204,1
hist_gradient_boosting_full,-0.018554808719124263,-0.0024158899464430746,-0.918353756104858,-5.205536866126205,-1.0449288339130045,1.5509415064102565,1
ridge_full,-0.030103808309883507,-0.019496054830341357,-1.7588445653862201,-3.0856569301994656,-0.702399301702694,0.9227163461538462,1
country_sector_dummy,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368,1
ridge_country_features_only,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368,1
zero_score,,,,,0.0,0.0,1
rolling_momentum_21d,0.016347497569446656,0.016870755787351154,0.9107688717095636,0.31132726143853456,0.3076479388378746,0.34401709401709396,3
lagged_return_reversal,0.010635293589253561,0.006721059694977251,0.4929687527899201,-1.3303090090632175,-0.5830760067984895,1.5144798344017094,3
ridge_wind_weather_only,0.0098627349971228,0.011046096743190736,0.5011866543019075,0.43741487715585853,0.059070902474557985,1.0725260416666667,3
hist_gradient_boosting_full,0.002651126350922066,0.026271797953066767,-0.0910021471853506,-0.5755434990690587,-0.4562150918249426,0.9938768696581196,3
rolling_mean_5d,-0.0039400920040539985,-0.018036268644323533,-0.16065183328495536,-1.0035943690470062,-0.2390611176785426,0.7122796474358974,3
ridge_price_only,-0.0048154625051157335,-0.014511354832051059,-0.22402761920454348,-1.7949388909453965,-0.5336295058147094,0.8130775908119657,3
ridge_finance_only,-0.015502470333436357,-0.00342626997165571,-0.8092343755197812,-2.309135565080965,-1.094901984693758,1.017668269230769,3
elasticnet_full,-0.018886195231059024,-0.026207191956136636,-0.9629941695693681,-2.1529185727176365,-1.0798994848483061,0.8684628739316239,3
ridge_full,-0.03767059166921614,-0.03149771656057094,-2.282650733025224,-2.754579772411105,-1.116578592562828,0.739433092948718,3
country_sector_dummy,-0.06457757043718064,-0.056094667885805256,-3.637133705345691,-2.2191523773552784,-0.7709138724643423,0.04336271367521368,3
ridge_country_features_only,-0.06457757043718064,-0.056094667885805256,-3.637133705345691,-2.2191523773552784,-0.7709138724643423,0.04336271367521368,3
zero_score,,,,,0.0,0.0,3
rolling_momentum_21d,0.029654396102799917,0.027016989164278304,1.401852258617118,1.0050224175698255,0.8010861333221816,0.3407885950854701,5
lagged_return_reversal,0.017660165203261188,0.016174067057061686,0.8802049971797691,-1.3709518507548382,-0.8616859329859173,1.5179453792735043,5
rolling_mean_5d,0.009600964963754675,-0.0009196644611737607,0.5008775398978972,0.2516016842399031,0.2898185572055174,0.7109775641025641,5
ridge_wind_weather_only,0.008041400105365167,0.015066914444102068,0.3940725211587866,0.3142957212647729,0.19132844209391442,1.0201822916666667,5
ridge_price_only,-0.005422757557980433,-0.020254793292835332,-0.19738454073389486,-1.457862032218201,-0.49683115241024955,0.8037526709401709,5
ridge_finance_only,-0.008277571240202118,0.0036438408569719354,-0.5282594807609273,-2.013698117027662,-1.3234937894413044,0.8704159989316239,5
hist_gradient_boosting_full,-0.01023462046756277,0.01372229876890483,-0.5072309076093916,-0.08334488444710601,0.08044680883996469,0.9652076655982906,5
elasticnet_full,-0.039444601896171126,-0.047018358362549466,-2.1408674465668818,-2.759099742847481,-1.5164729850027927,0.6161424946581197,5
ridge_full,-0.0427866781080354,-0.041744922229012736,-2.6531127467375204,-2.902947757361089,-1.5551460442071208,0.6414730235042735,5
country_sector_dummy,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-3.086242494973835,-1.489598341571818,0.04336271367521368,5
ridge_country_features_only,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-3.086242494973835,-1.489598341571818,0.04336271367521368,5
zero_score,,,,,0.0,0.0,5
