model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_momentum_21d,0.011403654150337896,0.010439507814370324,0.8421125800027137,0.37041498601548345,0.06104142351055295,0.09600789835164834
lagged_return_reversal,0.009461118721127275,0.005814413837866479,0.659324423908228,-1.7069791576161737,-0.30890024072143774,0.5752504006410256
ridge_wind_weather_only,0.00614115420751431,0.0058901798472569405,0.6029827077185578,-2.067595812488389,-0.2701499128484536,0.6407423305860805
rolling_mean_5d,0.004333145600151731,0.0002256259581877671,0.23397426083685705,-0.08406525124491566,-0.01639133340831357,0.2626387934981685
ridge_finance_only,0.00134435142439566,-0.006041593905510858,0.030225210309493766,-1.0815280893261334,-0.18316544721058928,0.36220667353479846
elasticnet_full,-0.007383633942438288,-0.00943691766304211,-0.6693702942059853,-2.945963229218021,-0.5704145409827669,0.6620249542124542
ridge_price_only,-0.008288618176365795,-0.010675723143597673,-0.6196121353251737,-2.787364547490455,-0.36441978176808776,0.38519631410256405
ridge_full,-0.019237490399253144,-0.019484168559594468,-1.5552876035499086,-1.726104425900602,-0.26578955555780037,0.18413747710622708
country_sector_dummy,-0.02791098590294166,-0.02451752570883665,-2.003213034262814,-2.0649212711167144,-0.310239856941859,0.0064703525641025645
ridge_country_features_only,-0.02791098590294166,-0.02451752570883665,-2.003213034262814,-2.0649212711167144,-0.310239856941859,0.0064703525641025645
zero_score,,,,,0.0,0.0
