model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer
lagged_return_reversal,27020,386,0.00047041318679991135,0.014334262002885555,0.5041080680977054,0.009681156134565971,0.017917071325827743,0.872530755156751,1.802822707244807,1.4566648398357471,-0.10898036266653134,0.08595120842505406,-1.2679328733528834,-0.2299474363398252,0.0595697619472972,-0.16693023805270277,0.5867875647668394,,10.0,252.0,buffered,0.1
ridge_wind_weather_only,27020,386,0.0003811339142232455,0.012673997255755982,0.5028867505551443,0.010788704597514916,0.009606867797610077,1.4680241967207286,1.2253224058062233,0.9900496919792253,-0.01807899823429362,0.06782551041069702,-0.26655159872475226,-0.10398569683401884,0.14187899476810578,-0.02769243380332277,0.43930421909696515,,10.0,252.0,buffered,0.1
rolling_momentum_21d,27020,386,0.008939017655692067,0.06666899262042718,0.4970022205773501,0.004300827495378883,0.005887270031309096,0.3849489462374686,0.5721732220996733,0.4623109147553836,-0.016912097986274296,0.09740712705407614,-0.17362279843122203,-0.10009381963237222,0.012166389592452849,-0.025905038978975708,0.09863064396743153,,10.0,252.0,buffered,0.1
ridge_finance_only,27020,386,0.0003812126861179425,0.012675503266685099,0.4986306439674315,0.0007521057622168038,0.0012328819672317883,0.06919053166606134,0.12944811970883718,0.10459293850968053,-0.055450519168620954,0.08845499367936395,-0.626878335095707,-0.20407213361901563,0.05442103016235045,-0.08493611269479241,0.36102886750555135,,10.0,252.0,buffered,0.1
rolling_mean_5d,27020,386,0.00043983795686394013,0.01389862860944374,0.4984826054774241,-0.007688713188247099,-0.0031890236606194945,-0.7157518268172076,-0.32312171206787865,-0.2610794922125943,-0.06348230182491528,0.08732316805755741,-0.7269812036946728,-0.11612563814658833,0.0061183789507249856,-0.09723876390641786,0.2677646188008882,,10.0,252.0,buffered,0.1
ridge_price_only,27020,386,0.0003813503835781676,0.012675223948723304,0.5007031828275351,-0.008465326942547011,-0.004986416013331645,-1.091250047813302,-0.6422243546015279,-0.5189116117047095,-0.10696878839701586,0.06844401396718794,-1.5628655041812234,-0.1941431150415297,-0.07606330286209578,-0.16384901714781003,0.22742413027387118,,10.0,252.0,buffered,0.1
elasticnet_full,27020,386,0.0003812923693388993,0.012674328330895133,0.4999259807549963,-0.008914802521509087,-0.007403595154365482,-0.7612326935069293,-0.7374463087567371,-0.5958501104494502,-0.09781393833333513,0.08510552648855602,-1.1493253419504783,-0.24688312745032145,-0.05025468332010862,-0.14982611189153713,0.2579570688378978,,10.0,252.0,buffered,0.1
ridge_full,27020,386,0.00038224448620467847,0.012711300132229292,0.48923019985196153,-0.017389463843556403,-0.02035628715317554,-1.792889874509077,-2.5057748887218887,-2.0246439998100483,-0.1504955800714277,0.07714249817148135,-1.9508777086384805,-0.3127533007118096,-0.1605924361411551,-0.23052100756972654,0.18116210214655806,,10.0,252.0,buffered,0.1
country_sector_dummy,27020,386,0.00038192294846590134,0.012693310750444303,0.487120651369356,-0.026492464248817727,-0.030071513339317915,-2.794604697679707,-3.2178363331975963,-2.599983363909577,-0.15191371903325165,0.08771512445472161,-1.7318988028303972,-0.28366214534613876,-0.2309789505826791,-0.2326932362969648,0.004441154700222057,,10.0,252.0,buffered,0.1
ridge_country_features_only,27020,386,0.00038192294846590134,0.012693310750444303,0.487120651369356,-0.026492464248817727,-0.030071513339317915,-2.794604697679707,-3.2178363331975963,-2.599983363909577,-0.15191371903325165,0.08771512445472161,-1.7318988028303972,-0.28366214534613876,-0.2309789505826791,-0.2326932362969648,0.004441154700222057,,10.0,252.0,buffered,0.1
zero_score,27020,386,0.00038122951729790847,0.012672505978773839,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,252.0,buffered,0.1
