model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean,horizon_days
rolling_momentum_21d,0.011400297696428705,0.010439496996640776,0.8419241349264336,-0.13649099054315827,-0.03793659106227443,0.18729769048917985,1
lagged_return_reversal,0.00946373212183313,0.005814434158994166,0.6594337025786537,-2.223202248834371,-0.31560997990061745,0.9180022788234224,1
ridge_wind_weather_only,0.006137216397304939,0.005890240186852208,0.602665862022668,-2.4696106127423945,-0.3436537455270824,0.9460465823331514,1
rolling_mean_5d,0.0043270559125060705,0.0002256000700427008,0.23361230195445848,-3.0072869835075196,-0.3982064176364388,0.42146924440807415,1
ridge_finance_only,0.0012680858386404086,-0.006033308171741585,0.02487458665837457,-0.6138769576717923,-0.08800210819587924,0.631628335833788,1
elasticnet_full,-0.007378351305210644,-0.009436553407417198,-0.6690692662062016,-0.8187843979738924,-0.057319181739188235,0.4487210742862338,1
ridge_price_only,-0.008288169565076121,-0.010675748080086497,-0.6195183030171038,-3.891731870932603,-0.4523636762972699,0.8295320740134571,1
ridge_full,-0.01922496120255146,-0.01948187675578462,-1.5539500593274036,-0.41214544886507887,-0.07318175364445102,0.509339908392435,1
country_sector_dummy,-0.027913847849330625,-0.024517532381488915,-2.0031197736269215,-1.572279370898582,-0.1850922815443801,0.20459444330787416,1
ridge_country_features_only,-0.027913847849330625,-0.024517532381488915,-2.0031197736269215,-1.572279370898582,-0.1850922815443801,0.20459444330787416,1
zero_score,,,,,0.0,0.0,1
rolling_momentum_21d,0.012059900799421165,0.01937634248088146,0.8880682653445543,0.3728740724579807,0.10116014916865437,0.1894659824513548,3
ridge_wind_weather_only,0.010787663213482769,0.013902986982733448,1.0215986174997793,-0.3614082893267223,-0.13035739320042755,0.8764940216402982,3
rolling_mean_5d,0.007312249539692738,0.0031797773769744533,0.44574603373038135,-1.659834888889687,-0.718702761729975,0.4268989248045099,3
ridge_finance_only,0.00728632664289845,0.001320144283372063,0.4908343976497917,0.19968463212676424,0.07097524205651422,0.6064246056101109,3
lagged_return_reversal,0.003362240779495882,0.004006346571990935,0.14946949677000912,-0.1432186973936549,-0.0967605506554339,0.9131201411620294,3
ridge_price_only,-0.0038124950298903206,-0.013346326594878758,-0.2870049519777759,-0.8909694394016513,-0.3011477317053079,0.8325537881887616,3
elasticnet_full,-0.016600922039206566,-0.018877495313434443,-1.0805061342980535,0.6331603155701979,0.2798157045200999,0.5523590936988544,3
ridge_full,-0.02761511669784571,-0.03002339167221586,-2.249137857809339,0.6607570563431748,0.17437545345052607,0.4215706833060557,3
country_sector_dummy,-0.04183011942238918,-0.04089641377408874,-3.0132055590159137,-0.5155151524515423,-0.19645446375351494,0.20459444330787416,3
ridge_country_features_only,-0.04183011942238918,-0.04089641377408874,-3.0132055590159137,-0.5155151524515423,-0.19645446375351494,0.20459444330787416,3
zero_score,,,,,0.0,0.0,3
rolling_momentum_21d,0.021050449178859204,0.026619680148947045,1.3964344218488076,0.367756454316103,0.1705741318896977,0.1903623101927623,5
rolling_mean_5d,0.01094810157376857,0.0019826426337323775,0.6261489662993202,-1.5022064568609022,-1.0491442037247976,0.42454068353336966,5
ridge_wind_weather_only,0.009453510857599346,0.014878406463347649,0.663340649232168,0.5252101786363603,0.2685738137519324,0.8246235110929261,5
ridge_finance_only,0.005174965172573804,0.0022055087610613304,0.3364047880509509,0.09551000041261688,0.06538194043093387,0.5062163291052918,5
lagged_return_reversal,-0.009164551480812955,-0.002782308502468573,-0.5702959428401285,-0.33476893882143055,-0.1487529159614662,0.9157537165848336,5
ridge_price_only,-0.01109453564809063,-0.017134745207109822,-0.6121866681878523,-1.2231355976513891,-0.5884752940372708,0.8194951638934352,5
ridge_full,-0.03847336520477859,-0.04088318029481559,-3.0861529819124853,0.5304975475627883,0.3776367336707924,0.3712120953809783,5
elasticnet_full,-0.03911608474853342,-0.036431683518186854,-2.7229376254755273,-0.2338775592102813,-0.0932729117684098,0.4012112997817785,5
country_sector_dummy,-0.05582719725915949,-0.05210116613538066,-4.01941963514314,-0.6103779610845311,-0.351363676618019,0.20459444330787416,5
ridge_country_features_only,-0.05582719725915949,-0.05210116613538066,-4.01941963514314,-0.6103779610845311,-0.351363676618019,0.20459444330787416,5
zero_score,,,,,0.0,0.0,5
