model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
rolling_momentum_21d,27020,386,0.010345072091130409,0.07223157542454081,0.4902294596595115,0.01419388092138748,0.011154024619635937,1.318783373536849,1.1058593763129918,0.39959635719890063,0.06698676939541114,0.0927013289678423,0.7226085121028694,-0.27709185782067053,0.5476050195759662,0.5130335910045377,0.08956328645447816,,10.0,50.4,buffered,0.15,5,none
rolling_momentum_21d,27020,386,0.010345072091130409,0.07223157542454081,0.4902294596595115,0.01419388092138748,0.011154024619635937,1.318783373536849,1.1058593763129918,0.39959635719890063,0.063609867419838,0.0913753150379746,0.6961384198062949,-0.3410514337584617,0.5190993814297116,0.4871708100011402,0.08271650629163581,,10.0,50.4,buffered,0.2,5,none
rolling_momentum_21d,27020,386,0.010345072091130409,0.07223157542454081,0.4902294596595115,0.01419388092138748,0.011154024619635937,1.318783373536849,1.1058593763129918,0.39959635719890063,0.0494811930949324,0.09179939914697226,0.5390143460058192,-0.34994986949947365,0.41739167727468063,0.37896310584610926,0.09955588452997777,,10.0,50.4,buffered,0.1,5,none
ridge_wind_weather_only,27020,386,0.001867282145427471,0.02943178514514448,0.5043671354552184,0.011364945104933931,0.005518856628317208,1.5402767401718844,0.7104763083839278,0.2567268052226443,0.03232389911418086,0.0687079320456575,0.4704536747329424,-0.20194825139170744,0.3582028781363851,0.24756002099352803,0.286639526276832,,10.0,50.4,buffered,0.1,5,none
ridge_wind_weather_only,27020,386,0.001867282145427471,0.02943178514514448,0.5043671354552184,0.011364945104933931,0.005518856628317208,1.5402767401718844,0.7104763083839278,0.2567268052226443,0.028093857658750547,0.06394001681114866,0.43937832768683394,-0.19924136525524155,0.3167347034975735,0.21516327492614507,0.2631384159881569,,10.0,50.4,buffered,0.15,5,none
ridge_wind_weather_only,27020,386,0.001867282145427471,0.02943178514514448,0.5043671354552184,0.011364945104933931,0.005518856628317208,1.5402767401718844,0.7104763083839278,0.2567268052226443,0.011363338177238624,0.06507517034496563,0.1746186466666348,-0.2695277016840151,0.18274302651615293,0.08702874080186723,0.24796447076239825,,10.0,50.4,buffered,0.2,5,none
rolling_momentum_21d,27020,386,0.010345072091130409,0.07223157542454081,0.4902294596595115,0.01419388092138748,0.011154024619635937,1.318783373536849,1.1058593763129918,0.39959635719890063,0.06247277975810545,0.09269092233875852,0.673990269832309,-0.28116328639209914,0.5476050195759662,0.47846216243310924,0.08956328645447816,,20.0,50.4,buffered,0.15,5,none
rolling_momentum_21d,27020,386,0.010345072091130409,0.07223157542454081,0.4902294596595115,0.01419388092138748,0.011154024619635937,1.318783373536849,1.1058593763129918,0.39959635719890063,0.05944095550273955,0.09137260743142633,0.6505336465017596,-0.3530514337584618,0.5190993814297116,0.4552422385725688,0.08271650629163581,,20.0,50.4,buffered,0.2,5,none
rolling_momentum_21d,27020,386,0.010345072091130409,0.07223157542454081,0.4902294596595115,0.01419388092138748,0.011154024619635937,1.318783373536849,1.1058593763129918,0.39959635719890063,0.04446357651462154,0.09179430306291185,0.48438274523581415,-0.3544498694994738,0.41739167727468063,0.340534534417538,0.09955588452997777,,20.0,50.4,buffered,0.1,5,none
ridge_wind_weather_only,27020,386,0.001867282145427471,0.02943178514514448,0.5043671354552184,0.011364945104933931,0.005518856628317208,1.5402767401718844,0.7104763083839278,0.2567268052226443,0.01787726698982853,0.06880025173157492,0.2598430462082744,-0.22316253710599315,0.3582028781363851,0.1369171638506709,0.286639526276832,,20.0,50.4,buffered,0.1,5,none
ridge_wind_weather_only,27020,386,0.001867282145427471,0.02943178514514448,0.5043671354552184,0.011364945104933931,0.005518856628317208,1.5402767401718844,0.7104763083839278,0.2567268052226443,0.01483168149294743,0.06396330381392652,0.23187797703654855,-0.2338481230546581,0.3167347034975735,0.11359184635471643,0.2631384159881569,,20.0,50.4,buffered,0.15,5,none
