target_time,n_names,gross_return,net_return,turnover,gross_exposure,net_exposure,max_group_net_exposure,long_count,short_count,portfolio_mode,selection_buffer,model,fold
2023-01-02 23:00:00+00:00,70,0.00453230406482085,0.00353230406482085,1.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-03 23:00:00+00:00,70,0.015114131159886704,0.015114131159886704,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-04 23:00:00+00:00,70,0.02174781099698311,0.02174781099698311,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-05 23:00:00+00:00,70,-0.0004999206452760211,-0.0004999206452760211,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-06 23:00:00+00:00,70,0.0013725620882923354,0.0013725620882923354,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-09 23:00:00+00:00,70,0.015094573480787262,0.015094573480787262,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-10 23:00:00+00:00,70,0.00371755400837956,0.00371755400837956,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-11 23:00:00+00:00,70,0.00435309266149351,0.00435309266149351,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-12 23:00:00+00:00,70,0.01658545155568485,0.01658545155568485,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-13 23:00:00+00:00,70,0.01752895521073063,0.01752895521073063,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
2023-01-16 23:00:00+00:00,70,0.0064657502082437505,0.0064657502082437505,0.0,1.0,0.0,,14,14,buffered,0.1,country_sector_dummy,fold_2019_2021_to_2023
