model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
rolling_momentum_21d,8960,128,0.01104687775530975,0.07496637811878813,0.5027901785714286,0.02709585665829645,0.03540660310082977,1.334865430531542,2.041772952652974,2.8648555689034656,0.17936604865654257,0.09621764133330192,1.8641700853506804,-0.06712705312325182,0.1113922786826883,0.09110656439697401,0.15848214285714285,10.0,252.0,fold_2019_2022_to_2023h2
rolling_mean_5d,8960,128,0.00047048367426324544,0.014073330217360286,0.4987723214285714,0.01796546074091969,0.021251573856959742,0.9170638111719006,1.204472002889293,1.6900205875399226,0.09880245108712118,0.09297818639365002,1.0626411948799739,-0.05861711370144033,0.09668537198075994,0.050185371980759966,0.36328125,10.0,252.0,fold_2019_2022_to_2023h2
ridge_finance_only,8960,128,0.0004099594690517216,0.01271220860253191,0.5034598214285714,-0.020816705060970622,0.002356678593607898,-1.0218733202894166,0.1433766551785677,0.20117487035243556,-0.25848569409927163,0.08924540969084846,-2.8963472182455305,-0.14777063110334943,-0.052937177955185585,-0.13129432081232845,0.6121651785714285,10.0,252.0,fold_2019_2022_to_2023h2
ridge_wind_weather_only,8960,128,0.0004096071799389046,0.01271134555545909,0.5012276785714286,-0.005338554266300466,0.00020273122369790595,-0.4285887570326815,0.014868331392924618,0.02086207574450223,-0.2805549817932987,0.0659743769347005,-4.252483991944081,-0.14654338317654156,-0.02314697487913587,-0.1425041177362787,0.9324776785714286,10.0,252.0,fold_2019_2022_to_2023h2
ridge_price_only,8960,128,0.0004098592297251739,0.012713646907074199,0.5013392857142858,-0.020439213174684213,-0.016518732636020782,-1.5258663172532783,-1.2954990675428393,-1.817742620861407,-0.30436995808611245,0.0709899652420772,-4.28750679125148,-0.16233428062437075,-0.08917204220246983,-0.15460061363104124,0.5111607142857142,10.0,252.0,fold_2019_2022_to_2023h2
lagged_return_reversal,8960,128,0.0005156373280025239,0.014639985167282389,0.49709821428571427,-0.005330696165384259,-0.016952896318967663,-0.2512136513312899,-0.9367436355472398,-1.3143651537970524,-0.3052494972474426,0.09415210981599181,-3.242088763002906,-0.1680660227299418,-0.04990450653838353,-0.1550473636812407,0.8214285714285714,10.0,252.0,fold_2019_2022_to_2023h2
elasticnet_full,8960,128,0.000409738531353213,0.01271080876855039,0.49051339285714285,-0.018942185183622354,-0.01848289137004262,-0.954984929477986,-1.0478223223814562,-1.4702220497119507,-0.2991891433137423,0.09548247136249917,-3.1334457418668062,-0.16592916514337017,-0.08668337438158341,-0.15196908866729766,0.5100446428571428,10.0,252.0,fold_2019_2022_to_2023h2
ridge_full,8960,128,0.00041062713727595183,0.012738105003578606,0.4909598214285714,-0.023619200436452152,-0.020721727371003886,-1.3016055564148965,-1.327277496271908,-1.8623316180842275,-0.20377696854318395,0.09356622842534291,-2.1778901637119947,-0.15540219979092507,-0.052648618942569614,-0.10350576179971248,0.39732142857142855,10.0,252.0,fold_2019_2022_to_2023h2
country_sector_dummy,8960,128,0.00041010988489358915,0.012725588455734335,0.48683035714285716,-0.018056361978303313,-0.02216975402835429,-1.0876221496694405,-1.2903862785177245,-1.8105687565528426,-0.13738682211759312,0.08995865121645186,-1.5272218987257056,-0.13931933457553694,-0.06878378266290446,-0.06978378266290444,0.0078125,10.0,252.0,fold_2019_2022_to_2023h2
ridge_country_features_only,8960,128,0.00041010988489358915,0.012725588455734335,0.48683035714285716,-0.018056361978303313,-0.02216975402835429,-1.0876221496694405,-1.2903862785177245,-1.8105687565528426,-0.13738682211759312,0.08995865121645186,-1.5272218987257056,-0.13931933457553694,-0.06878378266290446,-0.06978378266290444,0.0078125,10.0,252.0,fold_2019_2022_to_2023h2
zero_score,8960,128,0.0004096719968911839,0.012709637329112447,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,252.0,fold_2019_2022_to_2023h2
