run,mse,naive_mse,improvement_pct,mae,directional_accuracy,ic
full_h64_b3_seed22,1.455530000204161,1.4620276970993207,0.44443049253111155,0.7624233097451854,0.38373751783166904,0.12769841289163705
full_h64_b3_seed33,1.4559662973820189,1.4620276970993207,0.4145885696507423,0.7723284555384079,0.39657631954350925,0.14887776712843262
compact_h32_b2_seed22,1.4604043203474208,1.4620276970993207,0.11103597798596265,0.7448752876203852,0.39229671897289586,0.06678786361224588
full_h64_b3_seed55,1.4614845875043045,1.4620276970993207,0.03714769536129481,0.7387135061829102,0.3680456490727532,0.035432675428145995
compact_h32_b2_seed44,1.4632952748413213,1.4620276970993207,-0.08669998143779889,0.737836872200378,0.35805991440798857,-0.002184360794345959
compact_h32_b2_seed33,1.466136633881976,1.4620276970993207,-0.2810437032627622,0.7436494784738517,0.3594864479315264,-0.020957933906103225
full_h64_b3_seed11,1.474054232205819,1.4620276970993207,-0.8225928366719204,0.7516470047072326,0.37375178316690444,0.027283690353957904
full_h64_b3_seed44,1.477135708657152,1.4620276970993207,-1.03336014685671,0.7453630536947788,0.3124108416547789,-0.08792076718966373
compact_h32_b2_seed55,1.4932826992840456,1.4620276970993207,-2.137784547224042,0.7720459256617689,0.38231098430813126,0.060466515139113684
compact_h32_b2_seed11,1.4966838730714263,1.4620276970993207,-2.3704185660000654,0.7553322867155434,0.3609129814550642,0.008810141470880209
