model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_mean_5d,0.03477258767943806,0.026154345546094665,1.655749160295522,1.982378805835076,1.2605388243696156,0.40085136217948714
rolling_momentum_21d,0.0310674134735771,0.0396108087720927,1.4338473608277702,1.4032356590930748,0.828592751981087,0.1760750534188034
ridge_wind_weather_only,-0.004844954289499995,0.0191387726937025,-0.3480366190536406,-0.0597365054530998,-0.030001928353298714,0.7429821047008547
lagged_return_reversal,-0.0075026555196124915,-0.001402455864053948,-0.4317817250514087,-2.4769621251031464,-1.5707933067102993,0.8575554220085468
ridge_price_only,-0.009774098281642258,-0.02794821742049539,-0.37907723675221106,-1.6270796479479284,-0.5529387801625506,0.5851061698717949
hist_gradient_boosting_full,-0.010263569776995109,0.008607517123039097,-0.5331312926311452,1.2667802894362195,0.7377721946919492,0.4438100961538461
ridge_finance_only,-0.018594137771758685,-0.01315173360907544,-0.9782543349435954,-1.3782281851207214,-1.0716587128813857,0.4166866987179487
elasticnet_full,-0.05257081023212023,-0.06033527178815693,-2.893523679091878,-2.9852918555226964,-1.5382052207716843,0.26388888888888884
ridge_full,-0.05309872976415645,-0.05322712979940105,-3.369267965895828,-2.8939232889480055,-1.590647320883186,0.2757979433760684
country_sector_dummy,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-3.086242494973835,-1.489598341571818,0.04336271367521368
ridge_country_features_only,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-3.086242494973835,-1.489598341571818,0.04336271367521368
zero_score,,,,,0.0,0.0
