model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.06598518975580155,0.06690165937356576,0.9863012423556367,-0.15338013705096404,0.30321765768737374,0.30321765768737374,0.329940784603997,,0.0,84.0,buffered,0.1,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.06505821387891639,0.06613881969660952,0.9836615497124067,-0.17681675381586995,0.29895798282454433,0.29895798282454433,0.4000740192450037,,0.0,84.0,buffered,0.05,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.054940427215250005,0.06830293969874834,0.8043640208981635,-0.1761851409713969,0.25246434410817264,0.25246434410817264,0.5247964470762397,,0.0,84.0,daily,0.0,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.04671816820072098,0.0651332333447021,0.7172708278349429,-0.22627781126263485,0.21468110625569403,0.21468110625569403,0.3047742413027387,,0.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.044912986546171256,0.0962735105619887,0.4665144782193501,-0.21509519163246205,0.2063858667478822,0.2063858667478822,0.08308660251665433,,0.0,84.0,buffered,0.2,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.041003097132000864,0.08794077638793286,0.46625807522012347,-0.3196266083492551,0.18841899396371825,0.18841899396371825,0.5218356772760917,,0.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.03951498317243407,0.09615255096615653,0.4109613606231043,-0.2162086255391918,0.18158075600666132,0.18158075600666132,0.08919319022945965,,0.0,84.0,buffered,0.15,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.039100362698287844,0.08715383752142782,0.4486361565969433,-0.30853992666797503,0.1796754762087989,0.1796754762087989,0.8595484826054774,,0.0,84.0,daily,0.0,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.03769140879597197,0.08566105292131837,0.4400063682452326,-0.3125269572147743,0.17320099756244262,0.17320099756244262,0.5851221317542561,,0.0,84.0,buffered,0.1,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.03226362084591207,0.08419130364175262,0.3832179744264194,-0.3170423093863156,0.14825901960145307,0.14825901960145307,0.4690969652109548,,0.0,84.0,buffered,0.2,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.03213665148453948,0.08524970804566705,0.37697080988622667,-0.3133147068927896,0.1476755651551457,0.1476755651551457,0.6955958549222798,,0.0,84.0,buffered,0.05,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.030620053825570197,0.09173350957237364,0.333793550124803,-0.24955646250248137,0.14070643781750114,0.14070643781750114,0.11880088823094002,,0.0,84.0,buffered,0.05,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.028882931583853782,0.09565453299083326,0.30195047407342085,-0.24916927980412096,0.13272394751628047,0.13272394751628047,0.09900074019245002,,0.0,84.0,buffered,0.1,3,none
