model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year
rolling_momentum_21d,27020,386,0.010345072091130418,0.07223157542454085,0.4902294596595115,0.014193880921387484,0.011154024619635937,1.3187833735368497,1.1058593763129918,0.39959635719890063,0.03505510333989996,0.09046900287075071,0.38748192449939706,-0.34741891195679125,0.33554900573812274,0.2684775771666941,0.17376017764618798,10.0,50.4
ridge_wind_weather_only,27020,386,0.0018672821454274737,0.02943178514514452,0.5043671354552184,0.011364945104933941,0.005518856628317208,1.5402767401718793,0.7104763083839278,0.2567268052226443,0.00527587981315025,0.06739700242948182,0.07828063004241856,-0.28821711454239884,0.22419225412452368,0.04040653983880946,0.47612879348630643,10.0,50.4
lagged_return_reversal,27020,386,0.0019492945315682357,0.03014040429137654,0.5037749814951887,0.012164388493229605,0.005503566804554024,1.1618770888645904,0.5578112128201854,0.20156209136717534,-0.04345577032009106,0.09202513829911071,-0.4722163000597306,-0.7084507958790244,-0.0011017330070467318,-0.3328160187213324,0.859363434492968,10.0,50.4
ridge_finance_only,27020,386,0.0018675671109331304,0.029424793201531775,0.5013323464100666,0.008499068719746716,0.0038305481517841586,0.8864047232497007,0.4271470819140345,0.1543473081451535,-0.029188223226048984,0.08314681979917458,-0.3510443730325179,-0.6340232750825266,-0.03661615407251803,-0.22354472550108945,0.48427091043671344,10.0,50.4
rolling_mean_5d,27020,386,0.0019359795135930485,0.030086606137332158,0.49233900814211695,-0.01743711833143589,-0.006555924936150986,-1.6730616680516195,-0.6821681171492453,-0.24649779207814895,-0.0335086922731338,0.08478137099463119,-0.3952364992452853,-0.523285013842585,-0.10849117494900101,-0.2566340320918581,0.3837897853441895,10.0,50.4
ridge_price_only,27020,386,0.001869461201387163,0.029434689062023657,0.49944485566247226,-0.013380578711378946,-0.007077966209180753,-1.7962864205620226,-0.9136410491658924,-0.33013929515278745,-0.05678257862863006,0.06460832390520893,-0.8788740396971059,-0.6681162160039922,-0.26045387600498426,-0.43488244743355564,0.4518874907475943,10.0,50.4
elasticnet_full,27020,386,0.0018770430915135187,0.029535715342835493,0.47783123612139156,-0.03665478528490327,-0.038582330074042125,-3.3423448453606013,-4.125227328474593,-1.4906287801001974,-0.09632360747018623,0.08488339386535326,-1.1347756384833065,-1.245707489159974,-0.651216517529601,-0.7377165175296009,0.22409326424870465,10.0,50.4
ridge_full,27020,386,0.0018897431996243968,0.02968744617965335,0.47908956328645447,-0.04339689771449584,-0.04338688693767738,-4.507986131205197,-5.064101754183551,-1.8298860205925227,-0.13203807716165045,0.07792428689644079,-1.6944406220505472,-1.3204775888799987,-0.9101011465158151,-1.011244003658672,0.2620281273131014,10.0,50.4
country_sector_dummy,27020,386,0.0018845786352569022,0.02961036459022387,0.47498149518874905,-0.055162758653424494,-0.06041183047856449,-5.362880126443637,-6.335546521679611,-2.2893157712041696,-0.17441693085356805,0.08515280930997235,-2.0482815806893395,-1.6183684672868623,-1.3334550656642312,-1.3358122085213744,0.00610658771280533,10.0,50.4
ridge_country_features_only,27020,386,0.0018845786352569022,0.02961036459022387,0.47498149518874905,-0.055162758653424494,-0.06041183047856449,-5.362880126443637,-6.335546521679611,-2.2893157712041696,-0.17441693085356805,0.08515280930997235,-2.0482815806893395,-1.6183684672868623,-1.3334550656642312,-1.3358122085213744,0.00610658771280533,10.0,50.4
zero_score,27020,386,0.0018676384614270487,0.029423465812117428,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,50.4
