model,best_baseline,mean_loss_diff_model_minus_baseline,dm_t_stat,normal_approx_p_value,fold
zero_change,ridge_electricity_only,0.000621951996509917,0.05445540970176258,0.9565723337465161,fold_2019_2023_to_2024h2
previous_pc1_change,ridge_electricity_only,5.363631585806942,4.153427396326661,3.275321653468423e-05,fold_2019_2023_to_2024h2
rolling5_mean,ridge_electricity_only,0.24236181710423635,1.9202042616807862,0.05483210353574466,fold_2019_2023_to_2024h2
ridge_full,ridge_electricity_only,0.21180206756994358,2.134172563765359,0.03282865769592273,fold_2019_2023_to_2024h2
ridge_finance_only,ridge_electricity_only,0.15542887067809796,1.67555080665714,0.09382621141416653,fold_2019_2023_to_2024h2
ridge_weather_only,ridge_electricity_only,0.03528133301109934,0.8915310644353334,0.3726443338623584,fold_2019_2023_to_2024h2
ridge_weather_electricity,ridge_electricity_only,0.03536391192167864,0.9028520215092404,0.3666044372796359,fold_2019_2023_to_2024h2
ridge_no_finance,ridge_electricity_only,0.03536391192167864,0.9028520215092404,0.3666044372796359,fold_2019_2023_to_2024h2
linear_full,ridge_electricity_only,0.22089195865174607,2.176421522177205,0.029523755931101205,fold_2019_2023_to_2024h2
gradient_boosting_full,ridge_electricity_only,0.3896875753481418,1.8037182063214874,0.07127549392375163,fold_2019_2023_to_2024h2
